都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2023-06-30,上関,720,350,370,7,3,8,7,10,13,14,8,13,11,7,0,13,10,15,13,14,9,22,15,21,20,24,18,25,26,37,37,51,49,26,37,22,35,21,59,397,
353418,,山口県,上関町,2023-06-30,蒲井,56,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,1,1,7,3,4,4,27,50,
353418,,山口県,上関町,2023-06-30,四代,79,43,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,3,4,5,5,9,5,11,4,1,3,3,6,6,8,45,
353418,,山口県,上関町,2023-06-30,白井田,160,71,89,0,0,0,0,0,0,1,2,1,1,0,2,2,1,0,0,1,1,3,2,4,3,6,1,4,2,6,4,12,5,9,11,8,14,14,40,116,
353418,,山口県,上関町,2023-06-30,戸津,198,87,111,2,5,1,1,0,4,0,1,0,1,2,2,2,2,4,5,5,1,1,0,2,4,6,6,7,8,12,7,9,15,13,13,12,12,9,24,107,
353418,,山口県,上関町,2023-06-30,室津,800,387,413,9,6,12,12,12,10,9,8,9,5,13,2,15,10,19,14,17,14,23,15,29,17,27,27,37,32,33,33,47,60,28,36,25,40,23,72,439,
353418,,山口県,上関町,2023-06-30,祝島,286,141,145,3,4,1,1,0,0,0,0,3,1,3,1,4,2,1,2,2,2,5,1,7,0,6,5,8,4,16,11,24,13,16,23,16,28,26,47,204,
353418,,山口県,上関町,2023-06-30,八島,19,7,12,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,7,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
