都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
352012,,山口県,下関市,2020-09-30,長府_長府満珠新町,406,189,217,8,3,16,11,20,13,18,33,14,25,3,6,4,5,5,9,19,12,32,45,16,14,16,17,7,3,6,7,3,4,1,2,1,5,0,3,129,
352012,,山口県,下関市,2020-09-30,長府_長府浜浦西町,545,262,283,15,11,25,25,22,37,28,37,16,10,9,13,12,10,18,24,32,28,34,37,25,23,13,12,6,4,1,5,3,2,1,2,1,1,1,2,164,
352012,,山口県,下関市,2020-09-30,長府_大字高畑,25,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,3,1,1,1,3,3,1,3,1,1,16,
352012,,山口県,下関市,2020-09-30,長府_大字豊浦村,23,10,13,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,2,2,3,2,2,1,1,10,
352012,,山口県,下関市,2020-09-30,王司_亀浜町・千鳥浜町・乃木浜一丁目・乃木浜二丁目・乃木浜三丁目,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,4,
352012,,山口県,下関市,2020-09-30,王司_王司本町一丁目・王司本町二丁目,384,197,187,22,7,15,11,14,5,5,6,3,3,9,7,14,18,20,19,15,12,14,14,8,6,5,3,7,10,15,15,11,9,9,9,6,12,5,21,166,
352012,,山口県,下関市,2020-09-30,王司_王司本町三丁目,141,63,78,5,8,12,7,2,4,1,0,2,3,2,5,7,6,5,8,7,3,4,5,0,2,3,5,0,3,3,3,5,7,2,4,3,3,0,2,55,
352012,,山口県,下関市,2020-09-30,王司_王司本町四丁目,486,222,264,19,22,15,15,11,16,10,13,8,12,12,12,14,12,19,21,18,19,14,19,12,11,12,13,11,8,9,16,17,18,11,15,5,6,5,16,189,
352012,,山口県,下関市,2020-09-30,王司_王司本町五丁目,233,116,117,4,5,1,3,4,3,1,5,9,14,14,11,4,3,9,4,5,3,12,3,4,9,2,7,14,6,6,10,12,7,5,11,7,4,3,9,119,
352012,,山口県,下関市,2020-09-30,王司_王司本町六丁目,162,83,79,1,6,2,1,4,0,6,1,4,3,5,5,4,3,0,4,8,7,4,4,9,6,4,5,5,8,4,4,10,8,4,4,2,4,7,6,74,
352012,,山口県,下関市,2020-09-30,王司_王司川端一丁目,220,120,100,11,6,4,7,4,5,1,2,14,13,13,12,16,14,12,7,5,11,14,9,11,5,2,2,4,3,4,1,2,0,2,1,0,0,1,2,132,
352012,,山口県,下関市,2020-09-30,王司_王司川端二丁目・王司川端三丁目,323,159,164,22,15,16,21,8,4,2,5,5,6,9,4,13,18,17,22,15,10,11,7,3,5,8,9,6,4,4,3,6,12,5,3,5,9,4,7,122,
352012,,山口県,下関市,2020-09-30,王司_王司南町,257,117,140,3,1,4,4,6,3,4,5,6,13,3,5,2,7,8,8,6,2,13,11,10,18,9,3,7,12,5,9,9,8,7,13,8,13,7,5,125,
352012,,山口県,下関市,2020-09-30,王司_王司上町一丁目,447,201,246,7,7,15,17,9,19,20,10,19,9,14,10,8,13,13,13,8,15,14,19,13,24,11,14,10,13,6,9,15,22,7,14,6,10,6,8,201,
352012,,山口県,下関市,2020-09-30,王司_王司上町二丁目,206,101,105,4,6,8,5,10,2,3,7,4,4,5,9,6,3,8,13,11,6,12,6,5,7,7,2,2,5,2,5,5,6,4,7,3,3,2,9,102,
352012,,山口県,下関市,2020-09-30,王司_王司上町三丁目,77,33,44,0,0,2,0,1,1,1,0,2,0,1,2,1,2,2,3,1,1,3,4,1,1,2,4,3,3,3,4,5,4,2,6,0,4,3,5,42,
352012,,山口県,下関市,2020-09-30,王司_王司上町四丁目,59,29,30,0,1,4,0,0,2,1,0,2,0,3,6,0,1,1,2,3,3,1,0,2,2,0,2,1,1,4,4,3,3,2,1,0,0,2,2,30,
352012,,山口県,下関市,2020-09-30,王司_王司上町五丁目,238,122,116,6,6,7,5,4,6,2,6,11,5,9,5,11,9,15,14,14,9,10,12,5,3,6,7,3,5,7,5,1,3,7,4,1,2,3,10,120,
352012,,山口県,下関市,2020-09-30,王司_王司神田一丁目,457,203,254,14,10,10,10,6,14,7,18,11,9,9,12,11,14,9,13,12,12,14,17,22,18,13,21,12,16,16,18,11,14,7,8,9,14,10,16,193,
352012,,山口県,下関市,2020-09-30,王司_王司神田二丁目,358,162,196,9,8,11,7,7,6,8,6,5,8,5,4,10,8,10,12,9,10,11,8,8,14,7,10,6,8,9,12,17,21,13,17,14,17,3,20,168,
352012,,山口県,下関市,2020-09-30,王司_王司神田三丁目,409,196,213,11,6,18,12,9,21,7,18,10,3,14,7,10,11,16,13,20,19,17,12,6,8,2,8,7,12,13,17,19,19,9,10,7,7,1,10,173,
352012,,山口県,下関市,2020-09-30,王司_王司神田四丁目,126,65,61,3,1,8,0,1,2,2,2,3,3,3,2,1,0,5,5,6,4,4,2,3,6,4,4,2,2,6,9,8,7,2,6,3,1,1,5,49,
352012,,山口県,下関市,2020-09-30,王司_王司神田五丁目,138,72,66,6,3,7,6,10,5,2,5,3,2,2,1,1,6,8,9,10,7,7,4,2,3,3,1,3,3,2,2,2,2,1,1,2,2,1,4,55,
352012,,山口県,下関市,2020-09-30,王司_王司神田六丁目,388,189,199,9,4,12,11,15,15,10,19,11,8,5,6,11,10,5,13,22,20,20,14,10,15,8,6,11,11,7,7,13,15,10,8,5,4,5,13,161,
352012,,山口県,下関市,2020-09-30,王司_東観音町,728,345,383,12,11,25,14,16,19,28,17,10,13,18,12,9,12,16,21,28,20,21,31,19,20,18,18,18,19,22,20,21,33,21,34,20,40,23,29,324,
352012,,山口県,下関市,2020-09-30,王司_西観音町,561,273,288,13,8,12,7,14,7,17,21,15,10,9,11,7,8,9,13,17,18,28,22,26,28,14,14,18,17,11,17,22,32,17,22,18,16,6,17,239,
352012,,山口県,下関市,2020-09-30,王司_員光町一丁目,165,74,91,3,0,4,5,5,2,2,2,3,2,1,4,2,1,5,3,4,5,5,7,6,6,5,2,4,7,4,10,9,13,6,6,4,5,2,11,81,
352012,,山口県,下関市,2020-09-30,王司_員光町二丁目,226,109,117,2,2,7,4,6,4,3,5,0,4,4,4,4,1,2,7,6,5,12,6,10,8,5,6,9,7,14,14,8,15,10,10,5,5,2,10,107,
352012,,山口県,下関市,2020-09-30,王司_員光町三丁目,211,103,108,1,3,8,7,7,3,2,1,4,2,2,2,2,3,5,5,8,7,10,5,7,7,4,4,5,11,13,14,14,19,7,5,3,3,1,7,87,
352012,,山口県,下関市,2020-09-30,王司_員光町四丁目,194,95,99,4,3,4,8,4,5,4,5,1,3,2,0,3,5,5,1,3,8,8,4,4,5,4,5,8,4,3,9,16,18,14,12,6,1,2,3,87,
352012,,山口県,下関市,2020-09-30,王司_大字宇部,131,64,67,6,6,2,0,0,0,1,1,2,7,14,11,6,8,5,3,5,4,5,7,2,0,3,3,3,2,3,2,3,7,4,1,0,0,0,5,74,
352012,,山口県,下関市,2020-09-30,王司_大字山田,196,103,93,0,0,1,1,3,1,5,3,1,3,2,0,3,2,9,3,6,2,9,10,10,7,9,5,6,10,9,9,12,15,6,6,4,4,8,12,111,
352012,,山口県,下関市,2020-09-30,王司_大字員光,302,139,163,3,4,3,8,3,1,1,4,6,4,5,2,8,6,5,8,18,4,13,9,8,13,8,8,10,13,14,16,11,13,7,8,8,8,8,34,175,
352012,,山口県,下関市,2020-09-30,清末_清末陣屋,460,228,232,10,11,29,22,33,27,17,21,12,9,4,0,10,12,14,23,21,26,28,27,14,11,13,9,4,7,6,4,5,10,4,3,3,6,1,4,144,
352012,,山口県,下関市,2020-09-30,清末_清末西町一丁目,611,299,312,20,20,35,33,25,24,16,16,8,13,13,12,20,16,21,31,22,20,25,24,16,14,10,9,13,18,17,16,15,15,12,11,7,9,4,11,230,
352012,,山口県,下関市,2020-09-30,清末_清末西町二丁目,761,370,391,26,23,29,30,33,29,19,25,17,20,20,23,25,28,37,41,30,33,34,28,26,18,17,23,14,14,18,17,10,10,3,14,8,6,4,9,301,
352012,,山口県,下関市,2020-09-30,清末_清末西町三丁目,354,174,180,7,2,8,5,9,10,13,18,13,10,2,6,8,4,10,9,14,12,9,16,9,15,16,9,15,10,9,9,11,18,7,10,10,9,4,8,163,
352012,,山口県,下関市,2020-09-30,清末_清末五毛一丁目,222,112,110,9,6,9,7,10,2,5,3,3,7,6,7,9,8,6,7,10,7,8,11,3,5,10,8,8,5,5,4,5,5,4,2,1,5,1,11,102,
352012,,山口県,下関市,2020-09-30,清末_清末本町,473,235,238,7,5,13,8,17,9,18,11,10,9,9,7,7,11,13,11,16,15,17,23,9,14,12,14,14,8,19,17,18,24,14,15,11,20,11,17,202,
352012,,山口県,下関市,2020-09-30,清末_清末中町一丁目,294,136,158,11,12,15,7,5,11,4,4,4,9,9,4,11,14,6,11,11,10,11,14,3,5,7,4,7,8,4,9,12,8,5,12,6,8,5,8,131,
352012,,山口県,下関市,2020-09-30,清末_清末中町二丁目,326,162,164,7,12,16,4,8,9,8,8,10,5,7,9,10,7,13,9,16,18,13,7,9,9,6,15,9,7,8,12,7,15,12,7,1,6,2,5,136,
352012,,山口県,下関市,2020-09-30,清末_清末中町三丁目,70,28,42,1,1,1,0,1,3,0,2,0,2,0,0,2,3,3,2,0,2,1,1,3,1,1,0,2,3,3,4,3,4,1,1,4,5,2,8,35,
352012,,山口県,下関市,2020-09-30,清末_清末鞍馬一丁目,484,232,252,9,9,11,15,11,17,12,5,18,14,11,17,11,16,18,12,23,17,17,26,15,20,18,22,14,11,11,9,16,17,7,6,7,8,3,11,217,
352012,,山口県,下関市,2020-09-30,清末_清末鞍馬二丁目,403,197,206,10,6,8,8,12,16,12,16,13,13,10,10,9,11,14,3,9,15,21,23,17,16,16,8,9,8,8,15,9,7,7,9,6,11,7,11,179,
