都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数
352161,1,山口県,山陽小野田市,2022/9/30,本山小学校,2853,1341,1512,34,35,50,46,73,60,83,65,78,75,67,36,46,39,58,75,70,82,93,121,103,98,63,67,103,85,89,124,130,167,99,120,53,87,49,130,1362
352161,2,山口県,山陽小野田市,2022/9/30,赤崎小学校,5041,2538,2503,64,73,93,82,115,94,208,158,362,216,137,87,103,81,126,95,128,143,175,165,133,171,137,139,125,141,159,153,175,194,128,140,96,149,74,222,2640
352161,3,山口県,山陽小野田市,2022/9/30,須恵小学校,8120,3809,4311,132,118,167,192,171,185,218,174,175,178,146,139,202,183,218,217,236,222,286,293,258,252,206,236,243,274,281,295,345,391,227,305,160,278,138,379,4033
352161,4,山口県,山陽小野田市,2022/9/30,小野田小学校,5963,2800,3163,101,79,132,123,143,135,147,131,123,111,112,124,116,115,159,170,185,173,226,215,214,206,159,190,184,212,192,217,232,267,167,189,108,198,100,308,2959
352161,5,山口県,山陽小野田市,2022/9/30,高泊小学校,4133,1934,2199,48,46,77,83,105,97,96,105,112,81,72,78,69,94,107,99,111,126,152,153,138,163,123,101,87,111,130,155,202,223,149,149,79,121,77,214,1939
352161,6,山口県,山陽小野田市,2022/9/30,高千帆小学校,11102,5351,5751,208,228,289,247,280,245,266,241,251,222,260,201,291,243,342,356,370,368,396,411,354,375,295,288,297,333,354,375,380,480,324,374,204,322,190,442,5168
352161,7,山口県,山陽小野田市,2022/9/30,有帆小学校,3594,1733,1861,42,32,64,38,66,49,78,69,67,67,57,49,61,56,67,68,97,90,130,117,116,112,116,114,109,134,147,162,211,250,134,154,96,131,75,169,1695
352161,8,山口県,山陽小野田市,2022/9/30,厚狭小学校,10214,4877,5337,199,194,236,240,283,245,237,258,214,186,200,174,241,213,297,286,338,340,386,347,287,321,271,307,271,294,318,362,404,500,309,315,191,300,195,455,4569
352161,9,山口県,山陽小野田市,2022/9/30,厚陽小学校,1815,816,999,14,22,18,25,22,35,40,39,30,29,29,18,26,23,37,38,39,31,48,44,56,61,56,50,57,76,80,93,105,108,68,84,50,75,41,148,911
352161,10,山口県,山陽小野田市,2022/9/30,出合小学校,2611,1264,1347,31,32,48,49,49,65,66,58,72,58,77,49,55,47,64,54,77,65,79,78,77,79,83,96,79,96,93,108,134,128,82,93,45,77,53,115,1254
352161,11,山口県,山陽小野田市,2022/9/30,埴生小学校,4895,2333,2562,59,59,78,68,87,72,98,93,93,97,97,85,108,86,101,104,115,118,192,155,167,163,140,123,149,158,206,207,228,290,187,203,125,186,103,295,2478
