都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2024-07-31,上関,698,339,359,8,2,7,4,12,13,15,8,9,9,8,3,14,7,13,14,10,7,24,15,21,24,23,17,26,27,30,27,45,44,34,40,16,37,24,61,387,
353418,,山口県,上関町,2024-07-31,蒲井,54,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,2,5,3,6,3,26,49,
353418,,山口県,上関町,2024-07-31,四代,73,40,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,1,5,7,7,4,10,4,5,2,3,6,5,8,43,
353418,,山口県,上関町,2024-07-31,白井田,152,66,86,0,0,0,0,0,0,1,2,1,1,0,1,2,1,0,0,1,1,3,2,4,2,6,2,4,2,5,4,8,3,10,10,9,15,12,40,112,
353418,,山口県,上関町,2024-07-31,戸津,193,88,105,2,3,2,3,0,3,0,2,0,1,2,0,2,1,1,6,7,1,1,0,4,2,2,7,9,8,11,6,9,13,13,14,13,15,10,20,106,
353418,,山口県,上関町,2024-07-31,室津,747,359,388,7,4,12,11,11,11,8,8,6,3,13,4,14,11,18,13,15,14,20,15,29,15,24,20,33,36,33,33,37,48,36,41,25,36,18,65,420,
353418,,山口県,上関町,2024-07-31,祝島,269,131,138,2,2,2,3,0,0,0,1,0,0,1,2,3,2,3,3,2,2,3,1,6,1,7,4,9,4,13,7,20,14,21,24,16,27,23,41,196,
353418,,山口県,上関町,2024-07-31,八島,17,7,10,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,6,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
