都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2023-08-31,上関,713,346,367,8,3,7,6,11,13,14,9,12,10,8,1,12,9,15,14,14,9,21,14,21,19,25,18,24,28,35,33,51,49,25,38,23,36,20,58,394,
353418,,山口県,上関町,2023-08-31,蒲井,55,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,1,7,3,4,4,27,49,
353418,,山口県,上関町,2023-08-31,四代,78,43,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,2,4,6,5,9,5,11,3,1,3,3,6,6,8,45,
353418,,山口県,上関町,2023-08-31,白井田,159,71,88,0,0,0,0,0,0,1,2,1,1,0,1,2,1,0,0,1,1,3,2,4,2,6,2,4,2,6,4,12,5,9,11,8,14,14,40,116,
353418,,山口県,上関町,2023-08-31,戸津,197,87,110,2,5,1,1,0,4,0,1,0,1,2,0,2,3,4,5,4,1,2,0,2,4,6,6,6,7,12,7,9,16,14,12,12,13,9,24,107,
353418,,山口県,上関町,2023-08-31,室津,796,387,409,10,6,9,12,15,9,7,9,10,4,13,3,13,10,19,14,18,13,22,16,29,16,29,27,35,32,33,34,48,55,28,39,27,41,22,69,436,
353418,,山口県,上関町,2023-08-31,祝島,284,137,147,2,3,2,2,0,0,0,1,2,1,3,1,4,2,1,2,2,2,5,1,6,0,7,5,7,4,17,10,22,14,18,22,14,29,25,48,204,
353418,,山口県,上関町,2023-08-31,八島,19,7,12,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,8,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
