都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2020-07-31,上関,821,399,422,8,5,11,11,10,14,20,12,13,8,16,8,18,15,14,7,22,13,23,27,25,22,31,22,28,27,40,49,45,46,33,41,22,39,20,56,426,
353418,,山口県,上関町,2020-07-31,蒲井,57,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,2,2,6,2,6,3,29,51,
353418,,山口県,上関町,2020-07-31,四代,99,45,54,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,2,0,1,1,5,7,4,3,11,5,7,4,3,6,1,5,6,20,58,
353418,,山口県,上関町,2020-07-31,白井田,188,79,109,2,1,0,0,0,1,1,2,1,1,2,1,0,1,1,0,1,3,5,3,5,2,4,4,6,4,12,3,8,10,13,14,11,27,7,32,130,
353418,,山口県,上関町,2020-07-31,戸津,204,93,111,2,1,0,2,0,3,0,0,1,1,1,5,1,4,5,1,2,1,3,1,2,6,10,8,12,7,9,11,11,13,14,15,12,14,8,18,111,
353418,,山口県,上関町,2020-07-31,室津,887,423,464,12,10,9,12,13,13,10,7,11,5,17,6,23,16,18,17,22,16,32,17,23,20,28,27,36,42,36,44,50,50,34,38,21,45,28,79,475,
353418,,山口県,上関町,2020-07-31,祝島,345,163,182,1,4,2,2,0,0,2,0,3,2,3,1,2,2,3,2,2,2,7,0,6,4,8,5,11,4,18,15,28,23,15,33,24,25,28,58,238,
353418,,山口県,上関町,2020-07-31,八島,24,8,16,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,7,2,5,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
