都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2021-01-31,上関,814,396,418,10,6,10,10,11,13,17,14,12,8,16,8,16,11,16,11,25,13,18,22,26,21,28,22,27,25,41,49,49,49,28,34,24,43,22,59,424,
353418,,山口県,上関町,2021-01-31,蒲井,58,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,3,2,5,3,6,2,31,52,
353418,,山口県,上関町,2021-01-31,四代,96,46,50,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,2,0,0,0,6,7,4,4,12,4,7,5,3,6,1,5,6,16,55,
353418,,山口県,上関町,2021-01-31,白井田,180,77,103,1,1,1,0,0,1,1,2,1,0,1,2,0,1,0,0,2,2,5,4,4,2,5,3,5,3,10,3,10,11,11,13,11,23,9,32,125,
353418,,山口県,上関町,2021-01-31,戸津,201,91,110,2,1,0,2,0,3,0,0,1,1,2,5,1,4,4,0,3,1,3,1,1,5,8,8,10,9,12,11,9,12,14,15,12,10,9,22,108,
353418,,山口県,上関町,2021-01-31,室津,877,420,457,12,9,12,11,13,15,10,8,12,5,17,5,19,14,22,17,18,17,32,18,28,20,25,23,37,42,31,41,53,56,27,33,25,46,27,77,469,
353418,,山口県,上関町,2021-01-31,祝島,333,157,176,2,4,2,2,0,0,2,0,3,2,1,0,5,4,2,2,1,2,8,0,5,2,9,6,9,3,18,15,29,22,16,31,22,24,23,57,228,
353418,,山口県,上関町,2021-01-31,八島,23,8,15,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,7,2,5,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
