都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2024-01-31,上関,709,339,370,8,3,7,4,11,15,12,9,14,12,7,3,13,7,13,15,14,7,18,17,22,20,24,18,25,27,33,30,49,47,28,38,19,39,22,59,388,
353418,,山口県,上関町,2024-01-31,蒲井,54,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,1,5,3,6,4,26,49,
353418,,山口県,上関町,2024-01-31,四代,75,42,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,2,3,6,5,8,4,9,4,4,2,3,6,5,8,43,
353418,,山口県,上関町,2024-01-31,白井田,148,64,84,0,0,0,0,0,0,1,2,1,1,0,1,2,1,0,0,1,1,3,2,4,2,5,2,4,2,5,4,11,5,6,10,9,13,12,38,107,
353418,,山口県,上関町,2024-01-31,戸津,198,89,109,2,3,2,3,0,4,0,1,0,1,2,0,2,2,3,6,5,1,2,0,3,3,3,7,9,7,11,7,10,14,13,13,13,14,9,23,108,
353418,,山口県,上関町,2024-01-31,室津,776,374,402,9,5,10,12,12,10,10,8,9,5,12,5,13,11,21,13,15,13,23,16,29,15,26,24,32,34,35,34,43,52,30,41,25,37,20,67,433,
353418,,山口県,上関町,2024-01-31,祝島,280,135,145,2,2,2,3,0,0,0,1,2,0,3,1,3,2,3,3,2,2,4,2,7,0,6,5,8,4,14,8,24,15,17,21,16,28,22,48,204,
353418,,山口県,上関町,2024-01-31,八島,18,7,11,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,7,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
