都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数
352161,1,山口県,山陽小野田市,2021/4/30,本山小学校区,2976.00,1409.00,1567.00,33.00,39.00,67.00,46.00,75.00,68.00,92.00,68.00,84.00,82.00,56.00,33.00,63.00,54.00,54.00,72.00,77.00,99.00,106.00,121.00,93.00,87.00,66.00,69.00,97.00,95.00,112.00,139.00,151.00,169.00,86.00,118.00,49.00,82.00,48.00,126.00,1403.00
352161,2,山口県,山陽小野田市,2021/4/30,赤崎小学校区,5111.00,2568.00,2543.00,65.00,85.00,109.00,83.00,108.00,100.00,210.00,172.00,346.00,201.00,147.00,92.00,98.00,70.00,122.00,111.00,154.00,145.00,181.00,162.00,123.00,178.00,115.00,130.00,154.00,139.00,157.00,162.00,188.00,200.00,117.00,142.00,98.00,144.00,76.00,227.00,2618.00
352161,3,山口県,山陽小野田市,2021/4/30,須恵小学校区,8229.00,3864.00,4365.00,126.00,139.00,175.00,183.00,194.00,192.00,195.00,176.00,185.00,168.00,168.00,152.00,196.00,185.00,218.00,215.00,256.00,237.00,290.00,287.00,234.00,254.00,225.00,240.00,242.00,277.00,306.00,299.00,346.00,424.00,225.00,297.00,139.00,254.00,144.00,386.00,4052.00
352161,4,山口県,山陽小野田市,2021/4/30,小野田小学校区,5962.00,2800.00,3162.00,104.00,78.00,151.00,126.00,131.00,138.00,154.00,129.00,116.00,120.00,105.00,108.00,111.00,112.00,155.00,178.00,200.00,177.00,228.00,208.00,197.00,213.00,160.00,189.00,192.00,216.00,212.00,218.00,240.00,278.00,156.00,184.00,96.00,183.00,92.00,307.00,2908.00
352161,5,山口県,山陽小野田市,2021/4/30,高泊小学校区,4198.00,1956.00,2242.00,47.00,60.00,100.00,82.00,100.00,97.00,105.00,103.00,88.00,86.00,69.00,74.00,88.00,106.00,101.00,88.00,120.00,141.00,159.00,165.00,131.00,145.00,116.00,93.00,94.00,131.00,147.00,168.00,210.00,221.00,124.00,149.00,82.00,119.00,75.00,214.00,1978.00
352161,6,山口県,山陽小野田市,2021/4/30,高千帆小学校区,11153.00,5388.00,5765.00,239.00,229.00,296.00,255.00,256.00,244.00,272.00,236.00,246.00,223.00,246.00,194.00,305.00,270.00,365.00,383.00,369.00,360.00,404.00,415.00,324.00,352.00,296.00,283.00,300.00,332.00,369.00,405.00,436.00,503.00,279.00,346.00,195.00,334.00,191.00,401.00,5096.00
352161,7,山口県,山陽小野田市,2021/4/30,有帆小学校区,3654.00,1769.00,1885.00,49.00,34.00,56.00,35.00,78.00,65.00,71.00,64.00,72.00,65.00,65.00,45.00,61.00,56.00,73.00,73.00,109.00,92.00,125.00,122.00,116.00,113.00,106.00,116.00,115.00,143.00,174.00,185.00,219.00,244.00,118.00,148.00,92.00,126.00,70.00,159.00,1688.00
352161,8,山口県,山陽小野田市,2021/4/30,厚狭小学校区,10295.00,4884.00,5411.00,195.00,213.00,248.00,238.00,269.00,262.00,265.00,241.00,200.00,180.00,199.00,175.00,238.00,230.00,324.00,309.00,323.00,340.00,375.00,360.00,287.00,307.00,252.00,309.00,296.00,303.00,346.00,391.00,412.00,507.00,265.00,286.00,191.00,301.00,199.00,459.00,4556.00
352161,9,山口県,山陽小野田市,2021/4/30,出合小学校区,2664.00,1283.00,1381.00,36.00,33.00,59.00,58.00,46.00,56.00,57.00,68.00,91.00,53.00,87.00,56.00,50.00,50.00,63.00,58.00,66.00,63.00,79.00,84.00,76.00,81.00,89.00,88.00,84.00,107.00,105.00,112.00,134.00,128.00,65.00,88.00,45.00,75.00,51.00,123.00,1273.00
352161,10,山口県,山陽小野田市,2021/4/30,厚陽小学校区,1884.00,852.00,1032.00,20.00,21.00,15.00,24.00,23.00,37.00,50.00,42.00,29.00,26.00,25.00,18.00,34.00,32.00,37.00,37.00,40.00,36.00,52.00,48.00,59.00,60.00,56.00,50.00,58.00,92.00,94.00,95.00,103.00,103.00,73.00,88.00,43.00,87.00,41.00,136.00,934.00
352161,11,山口県,山陽小野田市,2021/4/30,埴生小学校区,3930.00,1881.00,2049.00,47.00,48.00,71.00,61.00,73.00,66.00,72.00,66.00,72.00,70.00,92.00,84.00,78.00,65.00,80.00,77.00,119.00,120.00,162.00,122.00,132.00,110.00,102.00,104.00,112.00,118.00,175.00,170.00,178.00,238.00,135.00,165.00,103.00,149.00,78.00,216.00,1972.00
352161,12,山口県,山陽小野田市,2021/4/30,津布田小学校区,1095.00,516.00,579.00,11.00,10.00,17.00,12.00,19.00,18.00,21.00,24.00,18.00,24.00,34.00,26.00,22.00,19.00,28.00,23.00,27.00,26.00,39.00,28.00,24.00,36.00,36.00,40.00,42.00,35.00,51.00,51.00,48.00,64.00,45.00,33.00,13.00,39.00,21.00,71.00,551.00
