"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0-4歳の男性","0-4歳の女性","5-9歳の男性","5-9歳の女性","10-14歳の男性","10-14歳の女性","15-19歳の男性","15-19歳の女性","20-24歳の男性","20-24歳の女性","25-29歳の男性","25-29歳の女性","30-34歳の男性","30-34歳の女性","35-39歳の男性","35-39歳の女性","40-44歳の男性","40-44歳の女性","45-49歳の男性","45-49歳の女性","50-54歳の男性","50-54歳の女性","55-59歳の男性","55-59歳の女性","60-64歳の男性","60-64歳の女性","65-69歳の男性","65-69歳の女性","70-74歳の男性","70-74歳の女性","75-79歳の男性","75-79歳の女性","80-84歳の男性","80-84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2022/01/31","本山小学校区",2918.00,1382.00,1536.00,34.00,34.00,55.00,43.00,75.00,69.00,88.00,63.00,81.00,80.00,65.00,40.00,51.00,40.00,59.00,77.00,67.00,97.00,105.00,112.00,103.00,98.00,58.00,67.00,105.00,91.00,103.00,124.00,133.00,177.00,96.00,118.00,55.00,80.00,49.00,126.00,1376.00
352161,2,"山口県","山陽小野田市","2022/01/31","赤崎小学校区",5057.00,2529.00,2528.00,64.00,74.00,97.00,83.00,108.00,98.00,172.00,150.00,363.00,223.00,152.00,99.00,104.00,75.00,124.00,110.00,141.00,142.00,181.00,162.00,139.00,176.00,115.00,136.00,142.00,134.00,154.00,157.00,180.00,193.00,123.00,146.00,98.00,144.00,72.00,226.00,2588.00
352161,3,"山口県","山陽小野田市","2022/01/31","須恵小学校区",8204.00,3852.00,4352.00,131.00,127.00,164.00,198.00,187.00,190.00,203.00,164.00,182.00,183.00,158.00,146.00,209.00,195.00,226.00,211.00,246.00,228.00,284.00,289.00,243.00,255.00,212.00,243.00,247.00,260.00,294.00,302.00,342.00,420.00,233.00,285.00,141.00,265.00,150.00,391.00,4040.00
352161,4,"山口県","山陽小野田市","2022/01/31","小野田小学校区",5978.00,2799.00,3179.00,98.00,87.00,150.00,121.00,133.00,138.00,154.00,134.00,113.00,113.00,114.00,115.00,121.00,110.00,150.00,174.00,198.00,181.00,221.00,207.00,204.00,217.00,157.00,186.00,190.00,215.00,203.00,218.00,243.00,278.00,153.00,183.00,103.00,191.00,94.00,311.00,2930.00
352161,5,"山口県","山陽小野田市","2022/01/31","高泊小学校区",4167.00,1944.00,2223.00,47.00,48.00,90.00,85.00,101.00,101.00,102.00,103.00,104.00,84.00,63.00,78.00,77.00,101.00,112.00,92.00,113.00,134.00,157.00,161.00,131.00,157.00,119.00,95.00,83.00,119.00,148.00,157.00,204.00,225.00,131.00,154.00,82.00,111.00,80.00,218.00,1944.00
352161,6,"山口県","山陽小野田市","2022/01/31","高千帆小学校区",11154.00,5384.00,5770.00,226.00,224.00,303.00,258.00,265.00,241.00,277.00,235.00,241.00,233.00,256.00,189.00,296.00,260.00,356.00,368.00,370.00,367.00,401.00,417.00,345.00,369.00,291.00,285.00,303.00,332.00,358.00,389.00,419.00,492.00,292.00,365.00,195.00,326.00,190.00,420.00,5114.00
352161,7,"山口県","山陽小野田市","2022/01/31","有帆小学校区",3637.00,1760.00,1877.00,46.00,39.00,63.00,27.00,71.00,66.00,75.00,63.00,72.00,67.00,54.00,49.00,65.00,57.00,73.00,68.00,103.00,89.00,117.00,122.00,124.00,119.00,108.00,108.00,115.00,137.00,156.00,175.00,220.00,253.00,129.00,148.00,92.00,129.00,77.00,161.00,1689.00
352161,8,"山口県","山陽小野田市","2022/01/31","厚狭小学校区",10258.00,4890.00,5368.00,192.00,203.00,235.00,237.00,287.00,266.00,263.00,242.00,201.00,173.00,190.00,174.00,242.00,226.00,321.00,292.00,330.00,341.00,380.00,360.00,287.00,312.00,258.00,298.00,287.00,304.00,328.00,387.00,416.00,501.00,282.00,285.00,194.00,313.00,197.00,454.00,4536.00
352161,9,"山口県","山陽小野田市","2022/01/31","出合小学校区",2616.00,1251.00,1365.00,30.00,31.00,53.00,52.00,48.00,64.00,60.00,64.00,78.00,59.00,78.00,49.00,52.00,48.00,58.00,54.00,75.00,63.00,75.00,83.00,76.00,77.00,85.00,91.00,86.00,99.00,97.00,113.00,137.00,126.00,69.00,93.00,48.00,77.00,46.00,122.00,1248.00
352161,10,"山口県","山陽小野田市","2022/01/31","厚陽小学校区",1844.00,832.00,1012.00,16.00,21.00,15.00,24.00,24.00,37.00,46.00,42.00,32.00,27.00,26.00,19.00,29.00,22.00,35.00,40.00,39.00,35.00,53.00,43.00,57.00,62.00,56.00,53.00,57.00,78.00,85.00,101.00,105.00,104.00,69.00,85.00,43.00,78.00,45.00,141.00,917.00
352161,11,"山口県","山陽小野田市","2022/01/31","埴生小学校区",3897.00,1863.00,2034.00,48.00,48.00,64.00,61.00,74.00,55.00,68.00,75.00,81.00,69.00,88.00,82.00,86.00,64.00,78.00,78.00,99.00,105.00,151.00,121.00,140.00,125.00,107.00,97.00,114.00,117.00,162.00,159.00,180.00,236.00,136.00,170.00,109.00,151.00,78.00,221.00,1969.00
352161,12,"山口県","山陽小野田市","2022/01/31","津布田小学校区",1073.00,504.00,569.00,12.00,10.00,13.00,11.00,21.00,17.00,23.00,24.00,17.00,27.00,26.00,24.00,18.00,14.00,27.00,27.00,29.00,23.00,36.00,27.00,26.00,38.00,34.00,34.00,39.00,39.00,52.00,45.00,48.00,66.00,47.00,34.00,15.00,38.00,21.00,71.00,537.00
