都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2021-08-31,上関,802,390,412,7,6,11,8,10,14,18,14,14,11,12,5,16,13,16,11,21,11,21,21,22,23,27,22,27,24,45,44,49,48,27,41,20,39,27,57,423,
353418,,山口県,上関町,2021-08-31,蒲井,56,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,4,1,4,5,6,2,28,50,
353418,,山口県,上関町,2021-08-31,四代,94,46,48,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,3,0,0,0,5,7,5,3,12,3,7,6,2,5,2,6,6,15,53,
353418,,山口県,上関町,2021-08-31,白井田,171,73,98,1,1,1,0,0,0,1,3,1,0,1,2,0,1,0,0,2,2,5,3,4,2,4,2,2,2,12,4,9,10,11,12,11,19,8,35,119,
353418,,山口県,上関町,2021-08-31,戸津,200,92,108,2,3,1,2,0,3,0,0,1,1,1,3,3,4,4,1,3,1,2,0,2,4,6,8,11,8,11,10,10,13,12,17,13,9,10,21,107,
353418,,山口県,上関町,2021-08-31,室津,859,414,445,13,10,12,10,13,13,10,7,10,6,17,4,17,14,20,18,18,18,32,15,29,20,25,21,37,44,33,36,50,60,29,34,23,42,26,73,460,
353418,,山口県,上関町,2021-08-31,祝島,327,155,172,2,5,2,2,0,0,1,0,4,0,2,1,5,3,1,3,2,2,8,0,4,2,10,5,9,3,18,15,30,21,10,28,22,26,25,56,227,
353418,,山口県,上関町,2021-08-31,八島,20,7,13,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,6,1,4,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
