都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2024-04-30,上関,704,339,365,8,3,7,4,11,15,15,8,10,10,8,2,13,7,13,15,12,7,20,17,22,21,24,18,26,27,31,28,47,46,30,38,17,38,25,61,389,
353418,,山口県,上関町,2024-04-30,蒲井,55,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,3,5,3,6,4,25,50,
353418,,山口県,上関町,2024-04-30,四代,73,40,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,3,6,5,6,4,11,4,4,2,3,6,5,8,43,
353418,,山口県,上関町,2024-04-30,白井田,151,66,85,0,0,0,0,0,0,1,2,1,1,0,1,2,1,0,0,1,1,3,2,4,2,6,2,4,2,5,4,10,5,8,10,9,13,12,39,111,
353418,,山口県,上関町,2024-04-30,戸津,195,88,107,2,3,2,3,0,3,0,2,0,1,2,0,2,2,2,6,6,1,1,0,4,3,3,6,8,8,11,7,9,13,13,13,13,15,10,21,107,
353418,,山口県,上関町,2024-04-30,室津,760,367,393,8,5,11,11,12,10,9,8,6,4,13,4,14,11,19,14,14,13,21,16,29,15,25,22,33,34,34,34,38,50,36,40,25,36,20,66,428,
353418,,山口県,上関町,2024-04-30,祝島,275,131,144,2,2,2,3,0,0,0,1,0,1,1,3,3,2,3,3,2,2,4,2,5,0,7,5,9,4,13,8,21,14,20,22,16,27,23,45,201,
353418,,山口県,上関町,2024-04-30,八島,17,7,10,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,6,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
