都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2020-08-31,上関,819,399,420,8,6,11,11,10,14,20,12,12,8,18,7,17,13,14,9,22,13,21,26,27,22,31,22,28,25,38,50,47,47,33,40,22,38,20,57,425,
353418,,山口県,上関町,2020-08-31,蒲井,59,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,2,1,6,3,6,3,31,53,
353418,,山口県,上関町,2020-08-31,四代,99,46,53,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,2,0,1,1,5,7,5,3,11,4,7,5,3,6,1,5,6,19,57,
353418,,山口県,上関町,2020-08-31,白井田,185,79,106,2,1,0,0,0,1,1,2,1,1,2,1,0,1,1,0,1,3,5,3,5,2,4,3,6,4,12,3,8,10,13,13,11,27,7,31,127,
353418,,山口県,上関町,2020-08-31,戸津,204,93,111,2,1,0,2,0,3,0,0,1,1,1,5,1,4,5,1,2,0,3,2,2,6,9,8,12,7,10,11,11,13,14,15,12,13,8,19,111,
353418,,山口県,上関町,2020-08-31,室津,885,422,463,10,10,11,12,13,12,10,8,11,5,17,6,21,16,20,17,22,15,30,18,25,19,27,27,37,43,36,44,49,49,32,37,22,47,29,78,475,
353418,,山口県,上関町,2020-08-31,祝島,343,161,182,1,4,2,2,0,0,2,0,3,2,3,1,2,2,2,2,2,2,7,0,6,4,8,5,10,3,18,16,28,23,15,32,24,26,28,58,236,
353418,,山口県,上関町,2020-08-31,八島,23,8,15,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,6,2,5,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
