都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数
352161,1,山口県,山陽小野田市,2021/3/31,本山小学校区,2987.00,1408.00,1579.00,31.00,41.00,68.00,49.00,74.00,69.00,91.00,69.00,86.00,81.00,57.00,35.00,60.00,55.00,54.00,73.00,86.00,96.00,102.00,120.00,89.00,88.00,69.00,67.00,97.00,99.00,112.00,137.00,150.00,170.00,85.00,120.00,50.00,80.00,47.00,130.00,1399.00
352161,2,山口県,山陽小野田市,2021/3/31,赤崎小学校区,5010.00,2508.00,2502.00,66.00,82.00,109.00,83.00,106.00,101.00,171.00,147.00,340.00,196.00,141.00,85.00,97.00,71.00,120.00,112.00,153.00,144.00,182.00,163.00,119.00,172.00,121.00,138.00,150.00,136.00,160.00,158.00,183.00,200.00,122.00,149.00,92.00,138.00,76.00,227.00,2531.00
352161,3,山口県,山陽小野田市,2021/3/31,須恵小学校区,8215.00,3846.00,4369.00,125.00,140.00,175.00,194.00,199.00,183.00,183.00,181.00,188.00,165.00,159.00,154.00,193.00,178.00,216.00,217.00,255.00,235.00,293.00,287.00,237.00,253.00,226.00,242.00,239.00,282.00,312.00,293.00,340.00,429.00,224.00,295.00,136.00,255.00,146.00,386.00,4030.00
352161,4,山口県,山陽小野田市,2021/3/31,小野田小学校区,5955.00,2794.00,3161.00,106.00,77.00,149.00,130.00,137.00,136.00,152.00,128.00,108.00,119.00,104.00,103.00,109.00,116.00,155.00,186.00,203.00,176.00,226.00,205.00,194.00,209.00,159.00,193.00,195.00,213.00,216.00,222.00,237.00,275.00,156.00,185.00,96.00,185.00,92.00,303.00,2894.00
352161,5,山口県,山陽小野田市,2021/3/31,高泊小学校区,4224.00,1964.00,2260.00,48.00,61.00,106.00,85.00,99.00,95.00,107.00,108.00,84.00,89.00,68.00,73.00,93.00,108.00,101.00,94.00,116.00,138.00,159.00,169.00,128.00,140.00,116.00,96.00,99.00,133.00,149.00,173.00,209.00,212.00,122.00,151.00,82.00,118.00,78.00,217.00,1978.00
352161,6,山口県,山陽小野田市,2021/3/31,高千帆小学校区,11184.00,5400.00,5784.00,243.00,227.00,301.00,254.00,253.00,248.00,273.00,243.00,250.00,223.00,251.00,194.00,311.00,283.00,357.00,378.00,367.00,364.00,410.00,413.00,321.00,347.00,295.00,286.00,301.00,337.00,371.00,409.00,435.00,488.00,280.00,358.00,195.00,329.00,186.00,403.00,5097.00
352161,7,山口県,山陽小野田市,2021/3/31,有帆小学校区,3686.00,1786.00,1900.00,50.00,36.00,57.00,35.00,78.00,64.00,70.00,67.00,78.00,65.00,65.00,45.00,61.00,59.00,75.00,73.00,110.00,94.00,127.00,125.00,117.00,112.00,104.00,120.00,122.00,141.00,171.00,186.00,218.00,240.00,121.00,149.00,89.00,125.00,73.00,164.00,1695.00
352161,8,山口県,山陽小野田市,2021/3/31,厚狭小学校区,10316.00,4882.00,5434.00,193.00,216.00,249.00,235.00,267.00,262.00,263.00,242.00,194.00,183.00,199.00,179.00,246.00,229.00,321.00,314.00,324.00,341.00,373.00,366.00,291.00,296.00,249.00,320.00,303.00,302.00,343.00,396.00,410.00,500.00,273.00,284.00,184.00,306.00,200.00,463.00,4559.00
352161,9,山口県,山陽小野田市,2021/3/31,出合小学校区,2699.00,1309.00,1390.00,41.00,37.00,60.00,57.00,49.00,57.00,57.00,69.00,93.00,53.00,92.00,57.00,57.00,54.00,63.00,55.00,71.00,65.00,75.00,88.00,75.00,75.00,89.00,88.00,84.00,109.00,106.00,113.00,136.00,127.00,64.00,90.00,47.00,72.00,50.00,124.00,1284.00
352161,10,山口県,山陽小野田市,2021/3/31,厚陽小学校区,1891.00,857.00,1034.00,21.00,19.00,16.00,25.00,23.00,36.00,52.00,42.00,30.00,27.00,25.00,17.00,33.00,32.00,34.00,36.00,40.00,38.00,53.00,51.00,60.00,57.00,58.00,52.00,59.00,92.00,93.00,97.00,102.00,102.00,74.00,89.00,43.00,86.00,41.00,136.00,934.00
352161,11,山口県,山陽小野田市,2021/3/31,埴生小学校区,3917.00,1873.00,2044.00,47.00,48.00,70.00,61.00,74.00,65.00,72.00,67.00,75.00,73.00,91.00,79.00,78.00,65.00,82.00,79.00,113.00,120.00,160.00,124.00,135.00,106.00,101.00,110.00,108.00,116.00,178.00,172.00,172.00,234.00,138.00,168.00,103.00,146.00,76.00,211.00,1965.00
352161,12,山口県,山陽小野田市,2021/3/31,津布田小学校区,1096.00,512.00,584.00,7.00,10.00,18.00,13.00,19.00,18.00,21.00,23.00,16.00,25.00,34.00,26.00,22.00,19.00,29.00,24.00,28.00,26.00,38.00,28.00,24.00,36.00,36.00,39.00,41.00,35.00,51.00,54.00,49.00,61.00,44.00,33.00,13.00,42.00,22.00,72.00,552.00
