"都道府県コード又は市区町村コード","地域コード","都道府県名","市区町村名","調査年月日","地域名","総人口","男性","女性","0-4歳の男性","0-4歳の女性","5-9歳の男性","5-9歳の女性","10-14歳の男性","10-14歳の女性","15-19歳の男性","15-19歳の女性","20-24歳の男性","20-24歳の女性","25-29歳の男性","25-29歳の女性","30-34歳の男性","30-34歳の女性","35-39歳の男性","35-39歳の女性","40-44歳の男性","40-44歳の女性","45-49歳の男性","45-49歳の女性","50-54歳の男性","50-54歳の女性","55-59歳の男性","55-59歳の女性","60-64歳の男性","60-64歳の女性","65-69歳の男性","65-69歳の女性","70-74歳の男性","70-74歳の女性","75-79歳の男性","75-79歳の女性","80-84歳の男性","80-84歳の女性","85歳以上の男性","85歳以上の女性","世帯数"
352161,1,"山口県","山陽小野田市","2021/12/31","本山小学校区",2930.00,1388.00,1542.00,34.00,36.00,58.00,44.00,74.00,66.00,88.00,65.00,82.00,81.00,63.00,39.00,52.00,41.00,59.00,77.00,71.00,96.00,105.00,114.00,102.00,97.00,57.00,68.00,106.00,93.00,102.00,126.00,139.00,175.00,92.00,119.00,55.00,77.00,49.00,128.00,1380.00
352161,2,"山口県","山陽小野田市","2021/12/31","赤崎小学校区",5070.00,2541.00,2529.00,64.00,74.00,97.00,85.00,109.00,95.00,179.00,155.00,368.00,223.00,147.00,95.00,105.00,75.00,126.00,111.00,143.00,144.00,179.00,161.00,138.00,177.00,112.00,136.00,146.00,135.00,155.00,157.00,179.00,195.00,123.00,143.00,100.00,144.00,71.00,224.00,2598.00
352161,3,"山口県","山陽小野田市","2021/12/31","須恵小学校区",8199.00,3846.00,4353.00,132.00,129.00,165.00,195.00,188.00,188.00,202.00,163.00,180.00,186.00,161.00,148.00,203.00,191.00,226.00,214.00,250.00,227.00,284.00,290.00,241.00,252.00,209.00,243.00,246.00,265.00,294.00,300.00,345.00,423.00,234.00,287.00,139.00,265.00,147.00,387.00,4042.00
352161,4,"山口県","山陽小野田市","2021/12/31","小野田小学校区",5984.00,2803.00,3181.00,99.00,86.00,151.00,122.00,132.00,141.00,156.00,131.00,111.00,112.00,111.00,117.00,123.00,110.00,148.00,175.00,201.00,182.00,221.00,208.00,204.00,220.00,158.00,186.00,188.00,216.00,210.00,217.00,240.00,275.00,152.00,184.00,104.00,189.00,94.00,310.00,2929.00
352161,5,"山口県","山陽小野田市","2021/12/31","高泊小学校区",4165.00,1939.00,2226.00,45.00,54.00,87.00,80.00,103.00,101.00,103.00,108.00,99.00,81.00,64.00,77.00,77.00,98.00,110.00,96.00,115.00,133.00,156.00,162.00,132.00,158.00,119.00,94.00,84.00,116.00,148.00,161.00,205.00,226.00,133.00,154.00,81.00,112.00,78.00,215.00,1943.00
352161,6,"山口県","山陽小野田市","2021/12/31","高千帆小学校区",11171.00,5395.00,5776.00,231.00,225.00,301.00,256.00,261.00,244.00,277.00,233.00,244.00,236.00,253.00,194.00,300.00,256.00,363.00,375.00,370.00,363.00,396.00,425.00,348.00,363.00,290.00,285.00,301.00,333.00,362.00,388.00,420.00,497.00,295.00,360.00,193.00,330.00,190.00,413.00,5123.00
352161,7,"山口県","山陽小野田市","2021/12/31","有帆小学校区",3637.00,1757.00,1880.00,45.00,39.00,64.00,28.00,70.00,65.00,73.00,63.00,70.00,68.00,55.00,48.00,65.00,57.00,73.00,67.00,101.00,90.00,121.00,123.00,120.00,117.00,113.00,110.00,114.00,135.00,157.00,183.00,221.00,250.00,129.00,149.00,91.00,127.00,75.00,161.00,1686.00
352161,8,"山口県","山陽小野田市","2021/12/31","厚狭小学校区",10257.00,4887.00,5370.00,189.00,199.00,242.00,238.00,284.00,265.00,260.00,240.00,200.00,173.00,197.00,175.00,236.00,227.00,320.00,297.00,327.00,341.00,384.00,357.00,287.00,314.00,257.00,305.00,289.00,304.00,330.00,381.00,416.00,504.00,282.00,285.00,193.00,314.00,194.00,451.00,4540.00
352161,9,"山口県","山陽小野田市","2021/12/31","出合小学校区",2619.00,1253.00,1366.00,31.00,30.00,54.00,51.00,47.00,66.00,61.00,62.00,78.00,60.00,78.00,48.00,51.00,49.00,61.00,58.00,72.00,59.00,77.00,85.00,77.00,77.00,82.00,90.00,87.00,100.00,99.00,115.00,137.00,129.00,66.00,89.00,49.00,78.00,46.00,120.00,1251.00
352161,10,"山口県","山陽小野田市","2021/12/31","厚陽小学校区",1841.00,831.00,1010.00,16.00,20.00,15.00,22.00,25.00,38.00,46.00,41.00,32.00,27.00,25.00,19.00,31.00,23.00,32.00,38.00,39.00,34.00,54.00,43.00,56.00,66.00,58.00,51.00,57.00,80.00,85.00,99.00,104.00,105.00,70.00,84.00,42.00,80.00,44.00,140.00,917.00
352161,11,"山口県","山陽小野田市","2021/12/31","埴生小学校区",3900.00,1864.00,2036.00,47.00,48.00,64.00,62.00,76.00,55.00,69.00,73.00,76.00,70.00,87.00,83.00,85.00,62.00,82.00,79.00,98.00,109.00,152.00,120.00,140.00,124.00,107.00,94.00,114.00,121.00,163.00,158.00,182.00,239.00,134.00,166.00,110.00,154.00,78.00,219.00,1967.00
352161,12,"山口県","山陽小野田市","2021/12/31","津布田小学校区",1083.00,505.00,578.00,12.00,11.00,14.00,12.00,21.00,17.00,23.00,26.00,17.00,26.00,28.00,25.00,18.00,15.00,27.00,27.00,29.00,24.00,34.00,28.00,26.00,38.00,35.00,34.00,39.00,40.00,52.00,49.00,48.00,63.00,46.00,34.00,15.00,38.00,21.00,71.00,541.00
