都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2021/10/31,上関,804,390,414,8,6,11,7,10,15,18,14,13,10,12,6,17,13,17,11,19,12,23,21,21,23,27,22,27,23,43,42,51,52,26,39,21,39,26,59,424,
353418,,山口県,上関町,2021/10/31,蒲井,57,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,4,1,3,5,7,3,28,51,
353418,,山口県,上関町,2021/10/31,四代,92,46,46,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,3,0,0,0,5,7,5,3,12,3,7,6,2,4,2,6,6,14,51,
353418,,山口県,上関町,2021/10/31,白井田,165,70,95,0,0,0,0,0,0,1,3,1,0,1,2,0,1,0,0,2,1,5,3,4,2,4,2,2,2,12,4,9,10,11,11,10,20,8,34,118,
353418,,山口県,上関町,2021/10/31,戸津,201,92,109,2,4,1,2,0,3,0,0,1,1,1,3,3,4,4,1,3,1,2,0,2,4,6,8,11,7,10,11,11,13,12,16,12,10,11,21,107,
353418,,山口県,上関町,2021/10/31,室津,858,413,445,13,10,12,11,13,13,10,6,9,8,18,4,17,15,20,18,17,17,32,16,29,20,27,21,37,43,31,33,50,59,30,36,22,43,26,72,457,
353418,,山口県,上関町,2021/10/31,祝島,322,153,169,2,5,2,2,0,0,1,0,4,0,2,1,5,3,1,3,2,2,6,0,4,2,10,5,9,3,18,14,28,21,12,29,21,25,26,54,224,
353418,,山口県,上関町,2021/10/31,八島,20,7,13,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,6,1,4,15,
