都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2023-07-31,上関,716,346,370,7,3,8,6,10,13,13,9,13,10,7,1,12,9,15,14,15,9,20,14,22,20,24,18,24,27,36,35,53,49,24,38,23,35,20,60,396,
353418,,山口県,上関町,2023-07-31,蒲井,55,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,1,1,7,3,4,4,26,49,
353418,,山口県,上関町,2023-07-31,四代,79,43,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,2,4,6,5,9,5,11,4,1,3,3,6,6,8,45,
353418,,山口県,上関町,2023-07-31,白井田,160,71,89,0,0,0,0,0,0,1,2,1,1,0,2,2,1,0,0,1,1,3,2,4,3,6,1,4,2,6,4,12,5,9,11,8,14,14,40,116,
353418,,山口県,上関町,2023-07-31,戸津,198,87,111,2,5,1,1,0,4,0,1,0,1,2,2,2,2,4,5,5,1,1,0,2,4,6,6,6,7,13,7,9,16,13,13,12,12,9,24,107,
353418,,山口県,上関町,2023-07-31,室津,798,387,411,9,6,11,12,13,10,8,8,10,4,13,3,14,10,19,14,18,13,23,16,29,16,28,27,36,32,33,34,46,59,29,36,26,41,22,70,438,
353418,,山口県,上関町,2023-07-31,祝島,285,140,145,2,3,2,2,0,0,0,0,3,1,3,1,4,2,1,2,2,2,5,1,7,0,6,5,8,4,16,10,22,14,18,23,16,28,25,47,204,
353418,,山口県,上関町,2023-07-31,八島,19,7,12,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,8,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
