都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
353418,,山口県,上関町,2020-06-30,上関,826,399,427,8,5,11,13,10,12,21,14,12,7,16,10,19,15,13,7,21,13,24,28,25,21,31,24,29,28,41,47,43,46,33,42,22,39,20,56,426,
353418,,山口県,上関町,2020-06-30,蒲井,58,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,2,2,6,2,6,3,30,52,
353418,,山口県,上関町,2020-06-30,四代,99,45,54,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,2,0,1,1,6,8,3,2,11,5,7,4,3,6,1,5,6,20,58,
353418,,山口県,上関町,2020-06-30,白井田,187,78,109,1,1,0,0,0,1,1,2,1,1,2,1,0,1,1,0,1,3,5,3,5,2,4,4,6,4,12,3,8,10,13,14,11,27,7,32,130,
353418,,山口県,上関町,2020-06-30,戸津,204,93,111,2,1,0,2,0,3,0,0,1,1,1,5,1,4,5,1,2,1,3,1,2,7,10,7,12,7,9,11,12,13,13,15,12,15,8,17,111,
353418,,山口県,上関町,2020-06-30,室津,886,421,465,12,10,10,12,12,13,10,8,12,4,16,7,22,16,19,16,23,16,30,17,23,20,28,27,39,42,32,43,51,51,33,37,21,46,28,80,475,
353418,,山口県,上関町,2020-06-30,祝島,348,164,184,1,4,2,2,0,0,2,0,3,2,3,1,2,2,3,2,2,2,7,0,6,4,8,5,13,4,17,16,28,22,15,33,25,25,27,60,240,
353418,,山口県,上関町,2020-06-30,八島,24,8,16,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,7,2,5,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
