防災行政無線（デジタル）_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考,,
352152,,,ERP0000051,ぼうさいかつま,ボウサイカツマ,,固定局,34.0375,131.951111,世界測地系,,,,,
352152,,,ERP0000052,ぼうさいかつまがおか,ボウサイカツマガオカ,,固定局,34.047222,131.953055,世界測地系,,,,,
352152,,,ERP0000053,ぼうさいやすだ,ボウサイヤスダ,,固定局,34.048888,131.9675,世界測地系,,,,,
352152,,,ERP0000054,ぼうさいたかみず,ボウサイタカミズ,,固定局,34.061666,131.978333,世界測地系,,,,,
352152,,,ERP0000055,ぼうさいみつお,ボウサイミツオ,,固定局,34.034444,131.980555,世界測地系,,,,,
352152,,,ERP0000056,ぼうさいこまつばら,ボウサイコマツバラ,,固定局,34.035555,131.992222,世界測地系,,,,,
352152,,,ERP0000057,ぼうさいやしろ,ボウサイヤシロ,,固定局,34.086666,131.939166,世界測地系,,,,,
352152,,,ERP0000058,ぼうさいかの,ボウサイカノ,,固定局,34.225833,131.814722,世界測地系,,,,,
352152,,,ERP0000059,ぼうさいすがの,ボウサイスガノ,,固定局,34.139444,131.896111,世界測地系,,,,,
352152,,,ERP0000060,ぼうさいおおしまおおぐす,ボウサイオオシマオオグス,,固定局,33.990277,131.806388,世界測地系,,,,,
352152,,,ERP0000061,ぼうさいおおばらいぬがえり,ボウサイオオバライヌガエリ,,固定局,33.991944,131.814166,世界測地系,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
