防災行政無線_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考,住所（緯度経度が不明な場合）,
352080,,,0002600063,ぼうさいたきやま,,,,34°11’21”,132°01’28”,,,美川町,,,
352080,,,0002600064,ぼうさいやまのうち,,,,34°11’51”,131°59’39”,,,美川町,,,
352080,,,0002600065,ぼうさいであい,,,,34°11’21”,131°59’47”,,,美川町,,,
352080,,,0002600066,ぼうさいとおがけ,,,,34°11’00”,131°58’40”,,,美川町,,,
352080,,,0002600067,ぼうさいなつやどり,,,,34°15’20”,131°58’39”,,,美川町,,,
352080,,,0002600068,ぼうさいかさづか,,,,34°02’07”,132°08’51”,,,由宇町,,,
352080,,,0002600069,ぼうさいごうせい,,,,34°01’46”,132°09’59”,,,由宇町,,,
352080,,,0002600070,ぼうさいゆせい,,,,34°02’09”,132°10’34”,,,由宇町,,,
352080,,,0002600071,ぼうさいてらざこ,,,,34°02’30”,132°11’00”,,,由宇町,,,
352080,,,0002600072,ぼうさいなかむら,,,,34°02’39”,132°11’22”,,,由宇町,,,
352080,,,0002600073,ぼうさいゆうきた,,,,34°02’44”,132°12’00”,,,由宇町,,,
352080,,,0002600074,ぼうさいゆうししょ,,,,34°02’49”,132°12’43”,,,由宇町,,,
352080,,,0002600075,ぼうさいゆうちゅうおう,,,,34°02’39”,132°12’23”,,,由宇町,,,
352080,,,0002600076,ぼうさいゆうみなと,,,,34°02’39”,132°13’03”,,,由宇町,,,
352080,,,0002600077,ぼうさいみなみおき,,,,34°02’24”,132°12’55”,,,由宇町,,,
352080,,,0002600078,ぼうさいちどりがおか,,,,34°02’02”,132°12’43”,,,由宇町,,,
352080,,,0002600079,ぼうさいあらけ,,,,34°01’49”,132°13’03”,,,由宇町,,,
352080,,,0002600080,ぼうさいみずしり,,,,34°01’03”,132°13’01”,,,由宇町,,,
352080,,,0002600081,ぼうさいじょうがさき,,,,34°00’31”,132°12’46”,,,由宇町,,,
352080,,,0002600082,ぼうさいしんとう,,,,34°00’12”,132°12’43”,,,由宇町,,,
352080,,,0002600083,ぼうさいはら,,,,33°59’35”,132°12’17”,,,由宇町,,,
352080,,,0002600084,ぼうさいながた,,,,34°01’45”,132°09’35”,,,由宇町,,,
352080,,,0002600085,ぼうさいいわくら,,,,34°01’25”,132°09’41”,,,由宇町,,,
352080,,,0002600086,ぼうさいしみず,,,,34°03’06”,132°10’16”,,,由宇町,,,
352080,,,0002600087,ぼうさいなかくら,,,,34°01’24”,132°10’47”,,,由宇町,,,
352080,,,0002600088,ぼうさいこうじろぎょこう,,,,33°59’54”,132°12’34”,,,由宇町,,,
352080,,,0002600089,ぼうさいくもんじょ,,,,33°59’30”,132°12’12”,,,由宇町,,,
352080,,,0002600090,ぼうさいやつかみ,,,,34°06’45”,132°04’46”,,,玖珂町,,,
352080,,,0002600091,ぼうさいへいせいびょういん,,,,34°06’06”,132°03’39”,,,玖珂町,,,
352080,,,0002600092,ぼうさいうすだ,,,,34°05’49”,132°03’24”,,,玖珂町,,,
352080,,,0002600093,ぼうさいせんぞく,,,,34°05’32”,132°03’39”,,,玖珂町,,,
352080,,,0002600094,ぼうさいあやま,,,,34°05’48”,132°04’14”,,,玖珂町,,,
352080,,,0002600095,ぼうさいやつしも,,,,34°06’09”,132°04’49”,,,玖珂町,,,
352080,,,0002600096,ぼうさいこうちじ,,,,34°06’18”,132°05’57”,,,玖珂町,,,
352080,,,0002600097,ぼうさいくがとうぶ,,,,34°06’22”,132°06’10”,,,玖珂町,,,
352080,,,0002600098,ぼうさいきんめいじ,,,,34°06’30”,132°06’30”,,,玖珂町,,,
352080,,,0002600099,ぼうさいかみだに,,,,34°06’16”,132°06’58”,,,玖珂町,,,
352080,,,0002600100,ぼうさいしもだに,,,,34°06’07”,132°06’29”,,,玖珂町,,,
352080,,,0002600101,ぼうさいのぐち,,,,34°05’54”,132°05’30”,,,玖珂町,,,
352080,,,0002600102,ぼうさいくがししょ,,,,34°05’39”,132°04’49”,,,玖珂町,,,
352080,,,0002600103,ぼうさいやないだしも,,,,34°05’28”,132°05’16”,,,玖珂町,,,
352080,,,0002600104,ぼうさいありのぶ,,,,34°05’09”,132°04’21”,,,玖珂町,,,
352080,,,0002600105,ぼうさいくもんきゅう,,,,34°05’12”,132°04’53”,,,玖珂町,,,
352080,,,0002600106,ぼうさいせだ,,,,34°04’38”,132°04’56”,,,玖珂町,,,
352080,,,0002600107,ぼうさいやないだかみ,,,,34°04’58”,132°06’01”,,,玖珂町,,,
352080,,,0002600108,ぼうさいかなで,,,,34°05’24”,132°05’01”,,,玖珂町,,,
352080,,,0002600109,ぼうさいさんぜがわしょう,,,,34°09’22”,131°58’16”,,,周東町,,,
352080,,,0002600110,ぼうさいさんぜがわ,,,,34°08’58”,131°58’32”,,,周東町,,,
352080,,,0002600111,ぼうさいかわごえこうみんかん,,,,34°08’00”,131°59’21”,,,周東町,,,
352080,,,0002600112,ぼうさいひよじ,,,,34°06’28”,131°58’36”,,,周東町,,,
352080,,,0002600113,ぼうさいしゅうほくしょう,,,,34°07’26”,132°00’16”,,,周東町,,,
352080,,,0002600114,ぼうさいきたばた,,,,34°07’23”,132°00’42”,,,周東町,,,
352080,,,0002600115,ぼうさいみょうじん,,,,34°06’47”,132°00’10”,,,周東町,,,
352080,,,0002600116,ぼうさいこばた,,,,34°06’36”,132°02’01”,,,周東町,,,
352080,,,0002600117,ぼうさいかわかみしょう,,,,34°06’31”,132°02’45”,,,周東町,,,
352080,,,0002600118,ぼうさいながの,,,,34°05’38”,132°00’20”,,,周東町,,,
352080,,,0002600119,ぼうさいなるかわ,,,,34°04’53”,131°59’52”,,,周東町,,,
352080,,,0002600120,ぼうさいしゅうせいしょう,,,,34°05’25”,132°00’29”,,,周東町,,,
352080,,,0002600121,ぼうさいよねがわ,,,,34°05’29”,132°00’45”,,,周東町,,,
352080,,,0002600122,ぼうさいいぼり,,,,34°04’15”,132°00’48”,,,周東町,,,
352080,,,0002600123,ぼうさいなかそね,,,,34°04’56”,132°01’29”,,,周東町,,,
352080,,,0002600124,ぼうさいよねがわしょう,,,,34°05’17”,132°01’50”,,,周東町,,,
352080,,,0002600125,ぼうさいそうづ,,,,34°05’23”,132°02’23”,,,周東町,,,
352080,,,0002600126,ぼうさいせんほく,,,,34°05’42”,132°02’46”,,,周東町,,,
352080,,,0002600127,ぼうさいしゅうとうししょ,,,,34°05’36”,132°03’03”,,,周東町,,,
352080,,,0002600128,ぼうさいなかいち,,,,34°05’21”,132°02’50”,,,周東町,,,
352080,,,0002600129,ぼうさいかみいち,,,,34°05’18”,132°03’18”,,,周東町,,,
352080,,,0002600130,ぼうさいかわだ,,,,34°05’05”,132°03’33”,,,周東町,,,
352080,,,0002600131,ぼうさいきゅうそう,,,,34°04’53”,132°04’05”,,,周東町,,,
352080,,,0002600132,ぼうさいようだ,,,,34°04’50”,132°03’02”,,,周東町,,,
352080,,,0002600133,ぼうさいあさひ,,,,34°04’36”,132°03’46”,,,周東町,,,
352080,,,0002600134,ぼうさいごおのうち,,,,34°04’13”,132°03’17”,,,周東町,,,
352080,,,0002600135,ぼうさいさいこうじ,,,,34°04’03”,132°04’54”,,,周東町,,,
352080,,,0002600136,ぼうさいしもそお,,,,34°04’08”,132°05’30”,,,周東町,,,
352080,,,0002600137,ぼうさいそおにししょう,,,,34°04’27”,132°06’20”,,,周東町,,,
352080,,,0002600138,ぼうさいそおこうみんかん,,,,34°04’17”,132°06’58”,,,周東町,,,
352080,,,0002600139,ぼうさいやまだ,,,,34°04’46”,132°06’55”,,,周東町,,,
352080,,,0002600140,ぼうさいひらまえ,,,,34°04’26”,132°07’43”,,,周東町,,,
352080,,,0002600141,ぼうさいかみそお,,,,34°03’41”,132°07’59”,,,周東町,,,
352080,,,0002600142,ぼうさいこぞおばた,,,,34°03’46”,132°06’44”,,,周東町,,,
352080,,,0002600143,ぼうさいあまがね,,,,"34°02’47""","132°05’19""",,,周東町,,,
352080,,,0002600144,ぼうさいなかやまだむ,,,,34°03’00”,132°02’53”,,,周東町,,,
352080,,,0002600145,ぼうさいなかたこうみんかん,,,,34°01’44”,132°03’10”,,,周東町,,,
352080,,,0002600146,ぼうさいしゅうとうなかやま,,,,34°01’44”,132°02’40”,,,周東町,,,
352080,,,0002600147,ぼうさいたじり,,,,34°01’29”,132°03’27”,,,周東町,,,
352080,,,0002600148,ぼうさいおくばた,,,,34°01’42”,132°03’56”,,,周東町,,,
352080,,,0002600149,ぼうさいきちだに,,,,34°10’43”,132°03’55”,,,旧岩国市,,,
352080,,,0002600150,ぼうさいてんのお,,,,34°10’21”,132°03’54”,,,旧岩国市,,,
352080,,,0002600151,ぼうさいふたしか,,,,34°09’18”,132°03’29”,,,旧岩国市,,,
352080,,,0002600152,ぼうさいあらせ,,,,34°10’17”,132°04’41”,,,旧岩国市,,,
352080,,,0002600153,ぼうさいゆかば,,,,34°09’45”,132°05’14”,,,旧岩国市,,,
352080,,,0002600154,ぼうさいきたごうち,,,,34°09’46”,132°05’40”,,,旧岩国市,,,
