市区町村コード,ID,名称,名称（カナ）,名称（英字）,説明,緯度,経度,座標参照系,座標参照系コード,地区名,備考
352063,50,西組公会堂,ニシグミコウカイドウ,,,"34°07'48.0""N","131°37'27.4""E",世界測地系,,小野地区,通常
352063,51,久兼上自治会,ヒサカネカミジチカイ,,,"34°07'06.4""N","131°38'06.6""E",世界測地系,,小野地区,通常
352063,52,鈴屋地区自治会ホール,スズヤチクジチカイホール,,,"34°06'36.8""N","131°35'45.5""E",世界測地系,,小野地区,簡易
352063,53,大道公民館,ダイドウコウミンカン,,,"34°03'35.1""N","131°29'19.0""E",世界測地系,,大道地区,通常
352063,54,旦西会館,ダンニシカイカン,,,"34°02'35.3""N","131°28'44.9""E",世界測地系,,大道地区,簡易
352063,55,東畑会館,ヒガシハタカイカン,,,"34°05'17.8""N","131°30'11.0""E",世界測地系,,大道地区,通常
352063,56,防府西高等学校,ホウフニシコウトウガッコウ,,,"34°03'16.0""N","131°30'07.1""E",世界測地系,,大道地区,簡易
352063,57,大繁枝会館,オオシゲシカイカン,,,"34°03'03.9""N","131°29'30.5""E",世界測地系,,大道地区,再送信
352063,58,大原自治会館,オオハラジチカイカン,,,"34°03'55.7""N","131°27'58.0""E",世界測地系,,大道地区,通常
352063,59,西山会館,ニシヤマカイカン,,,"34°04'48.7""N","131°29'31.4""E",世界測地系,,大道地区,簡易
352063,60,上之庄自治会館,カミノショウジチカイカン,,,"34°04'48.6""N","131°30'14.6""E",世界測地系,,大道地区,簡易
