NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
101,旧和田小学校体育館,キュウワダショウガッコウタイイクカン,山口県大島郡周防大島町大字和田1403‐1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,95(3.3㎡あたり1人),,,
102,正岩寺,ショウガンジ,山口県大島郡周防大島町大字和田970,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
103,油田農村環境改善センター,ユダノウソンカンキョウカイゼンセンター,山口県大島郡周防大島町大字伊保田1769‐6,,,,,,,353051,山口県,周防大島町,,,,,,,,,,40(3.3㎡あたり1人),,,
104,小伊保田公民館,コイホタコウミンカン,山口県大島郡周防大島町大字伊保田2834-6,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
105,油田小学校,ユダショウガッコウ,山口県大島郡周防大島町大字伊保田1195,,,,,,,353051,山口県,周防大島町,,,,,,,,,,165(3.3㎡あたり1人),,,
106,油田小学校屋内運動場,ユダショウガッコウオクナイウンドウジョウ,山口県大島郡周防大島町大字伊保田1195,,,,,,,353051,山口県,周防大島町,,,,,,,,,,100(3.3㎡あたり1人),,,
107,油宇公民館,ユウコウミンカン,山口県大島郡周防大島町大字油宇811-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,50(3.3㎡あたり1人),,,
108,馬ケ原公民館,ウマガハラコウミンカン,山口県大島郡周防大島町大字油宇1907-4,,,,,,,353051,山口県,周防大島町,,,,,,,,,,10(3.3㎡あたり1人),,,
109,雨振公民館,アマフリコウミンカン,山口県大島郡周防大島町大字伊保田382-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,10(3.3㎡あたり1人),,,
110,情島小・中学校,ナサケジマショウ・チュウガッコウ,山口県大島郡周防大島町大字伊保田163,,,,,,,353051,山口県,周防大島町,,,,,,,,,,50(3.3㎡あたり1人),,,
