全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考,
352071,,KD0001100018,山口県下松市,宮原古墳,ミヤハラコフン,,,352071,,下松市大字末武中,山口県,下松市,大字末武中,,,34.0348501,131.8544886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440023,,,https://yamaguchi-tourism.jp/spot/detail_11111.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100019,山口県下松市,下松市地域交流センター「ふれあいの館」,フクシノサト・チイキコウリュウセンター,,,352071,,下松市生野屋南1丁目11-1,山口県,下松市,生野屋南1丁目,11-1,,34.03164810000001,131.876816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440033,,,http://k-kanrikousha.or.jp/fukushinosato/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100020,山口県下松市,恋路クリーンセンター,コイジクリーンセンター,,,352071,,下松市大字河内340,山口県,下松市,大字河内,340,,34.0287941,131.8865521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440061,,,https://www.shueishi.or.jp/koijicc/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100021,山口県下松市,下松スポーツ公園,クダマツスポーツコウエン,,,352071,,下松市大字河内10140,山口県,下松市,大字河内,10140,,34.02523019999999,131.885967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440061,,,http://k-kanrikousha-orjp.check-xserver.jp/sportspark/supokou.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100022,山口県下松市,サンリブ下松,サンリブクダマツ,,,352071,,下松市南花岡6丁目8-1,山口県,下松市,南花岡6丁目,8-1,,34.0303924,131.8654204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440027,,,https://www.sunlive.co.jp/shop/%E3%82%B5%E3%83%B3%E3%83%AA%E3%83%96%E4%B8%8B%E6%9D%BE/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100023,山口県下松市,泉所寺,センジョジ,,,352071,,下松市桜町3丁目17-3,山口県,下松市,桜町3丁目,17-3,,34.01926,131.866687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440019,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100024,山口県下松市,スターピアくだまつ,スターピアクダマツ,,,352071,,下松市中央町21-1,山口県,下松市,中央町,21-1,,34.0181758,131.8640375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440025,,,https://www.starpiaa.or.jp/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100025,山口県下松市,下松タウンセンター「キラル」,クダマツタウンセンター「キラル」,,,352071,,下松市中央町21-1,山口県,下松市,中央町,21-1,,34.0186268,131.8629671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440025,,,https://hoshiplaza.co.jp/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100026,山口県下松市,21世紀フラワーファーム,２１セイキフラワーファーム,,,352071,,下松市大字来巻958,山口県,下松市,大字来巻,958,,34.0215024,131.9292731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440051,,,http://www.kvision.ne.jp/~kvn2132651/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100027,山口県下松市,下松市農業公園,ノウギョウコウエン,,,352071,,下松市大字来巻601-2,山口県,下松市,大字来巻,601-2,,34.0185099,131.9225996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440051,,,https://www.city.kudamatsu.lg.jp/nourin/nougyoukouen.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100028,山口県下松市,降松神社（若宮）,クダマツジンジャ（ワカミヤ）,,,352071,,下松市大字河内1984,山口県,下松市,大字河内,1984,,34.0191965,131.8844538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440061,,,https://yamaguchi-tourism.jp/spot/detail_15500.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100029,山口県下松市,下松市市民体育館,シミンタイイクカン,,,352071,,下松市西柳1丁目1-1,山口県,下松市,西柳1丁目,1-1,,34.0158706,131.867143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440018,,,http://k-kanrikousha-orjp.check-xserver.jp/sportspark/simintaiku/index.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100030,山口県下松市,くだまつ健康パーク（鶴ヶ浜温泉）,ツルガハマオンセン,,,352071,,下松市大字平田448,山口県,下松市,大字平田,448,,34.0156699,131.8421659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440021,,,https://www.k-park.co.jp/park/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100031,山口県下松市,下松公園（星の塔）,クダマツコウエン（ホシノトウ）,,,352071,,下松市旗岡1丁目9-2,山口県,下松市,旗岡1丁目,9-2,,34.0121629,131.8745774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440011,,,https://kudamatsu-kanko.jp/hoshinotou/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100032,山口県下松市,くだまつパブリックゴルフ,クダマツパブリックゴルフ,,,352071,,下松市大字平田448,山口県,下松市,大字平田,448,,34.0150127,131.8426598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440021,,,https://www.k-park.co.jp/public/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100033,山口県下松市,下松市役所,クダマツシヤクショ,,,352071,,下松市大手町3丁目-3-3,山口県,下松市,大手町3丁目,3-3,,34.0147755,131.8699962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7448585,,,https://www.city.kudamatsu.lg.jp/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100034,山口県下松市,妙見宮鷲頭寺,ミョウケングウジュトウジ,,,352071,,下松市中市1丁目10-15,山口県,下松市,中市1丁目,10-15,,34.0113273,131.8645761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440014,,,https://yamaguchi-tourism.jp/spot/detail_15197.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100035,山口県下松市,降松神社（中宮）,クダマツジンジャ（チュウグウ）,,,352071,,下松市大字河内,山口県,下松市,大字河内,,,34.00816069999999,131.8965597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440061,,,https://yamaguchi-tourism.jp/spot/detail_15500.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100036,山口県下松市,きらぼし館（駅南市民交流センター）,エキミナミシミンコウリュウセンター（キラボシカン）,,,352071,,下松市大字西豊井1247,山口県,下松市,大字西豊井,1247,,34.008405,131.867031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440011,,,http://k-kanrikousha-orjp/kiraboshi.html,下松観光ガイドブック「観光マップ」,
352071,,KD0001100037,山口県下松市,下松市観光案内所,クダマツシカンコウアンナイジョ,,,352071,,下松市大字西豊井1247,山口県,下松市,大字西豊井,1247,,34.0086213,131.8671781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440011,,,https://kudamatsu-kanko.jp/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100038,山口県下松市,くだまつスポーツセンター,クダマツスポーツセンター,,,352071,,下松市新川1丁目3-5,山口県,下松市,新川1丁目,3-5,,34.0073097,131.8652324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440008,,,https://www.k-park.co.jp/center,下松観光ガイドブック「観光マップ」,
352071,,KD0001100039,山口県下松市,金輪神社（鼎の松）,カナワジンジャ,,,352071,,下松市北斗町11,山口県,下松市,北斗町,11,,34.0093096,131.869139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440012,,,https://kudamatsu-kanko.jp/kanawa/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100040,山口県下松市,下松駅,クダマツエキ,,,352071,,下松市駅南1丁目10,山口県,下松市,駅南1丁目,10,,34.0087186,131.868031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440007,,,https://www.jr-odekake.net/eki/top?id=0800636,下松観光ガイドブック「観光マップ」,
352071,,KD0001100041,山口県下松市,恋ヶ浜緑地公園,コイガハマリョクチコウエン,,,352071,,下松市大字東豊井551-1,山口県,下松市,大字東豊井,551-1,,33.9928762,131.8789885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440002,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100042,山口県下松市,茶臼山,チャウスヤマ,,,352071,,下松市大字東豊井,山口県,下松市,大字東豊井,,,33.9917752,131.8990502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440002,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100043,山口県下松市,笠戸大橋,カサドオオハシ,,,352071,,下松市大字笠戸島洲鼻,山口県,下松市,大字笠戸島洲鼻,,,33.988093,131.8604035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/kasadoohashi/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100044,山口県下松市,ひらめきパーク笠戸島（下松市栽培漁業センター）,ヒラメキパークカサトジマ（クダマツシサイバイギョギョウセンター）,,,352071,,下松市大字笠戸島456-8,山口県,下松市,大字笠戸島,456-8,,33.9841819,131.8589495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/saibai-gyogyou/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100045,山口県下松市,夕日岬,ユウヒミサキ,,,352071,,下松市大字笠戸島,山口県,下松市,大字笠戸島,,,33.9829984,131.8577814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/yuhimisaki/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100046,山口県下松市,はなぐり岩,ハナグリイワ,,,352071,,下松市大字笠戸島,山口県,下松市,大字笠戸島,,,33.9804104,131.8515218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/yuhimisaki/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100047,山口県下松市,佐々木小次郎笠かけの松（本浦海浜公園）,ササキコジロウカサカケノマツ,,,352071,,下松市大字笠戸島1534-1,山口県,下松市,大字笠戸島,1534-1,,33.9793468,131.8631171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/news/%e7%ac%a0%e3%81%8b%e3%81%91%e3%81%ae%e6%9d%be/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100048,山口県下松市,はなぐり海水浴場,ハナグリカイスイヨクジョウ,,,352071,,下松市大字笠戸島,山口県,下松市,大字笠戸島,,,33.97779199999999,131.8556229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/hanaguri/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100049,山口県下松市,海上プロムナード,カイジョウユウホドウ,,,352071,,下松市大字笠戸島13,山口県,下松市,大字笠戸島,13,,33.9757639,131.8539795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/promenade/,下松観光ガイドブック「観光マップ」,
