番号,植物名,緯度,経度,科,属,原産,説明,写真1,写真2,写真3
2802,モッコク,33.950253,131.280552,ツバキ科,Ternstroemia＝モッコク属,,山地生常緑低木、枝は放射状に分枝、楕円形の皮目が多い、葉は互生、両面無毛、花６月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_28_2.jpg,,
2803,ナツツバキ（植栽）,33.950253,131.280552,ツバキ科,Stewartia＝ナツツバキ属,,山地林縁生落葉高木、高さ１５ｍ、樹皮は剥離、葉は互生、裏は白色、花は単生、白色、花７月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_28_3.jpg,,
2804,ヤブツバキ（自生と植栽）,33.950253,131.280552,ツバキ科,Camellia＝ツバキ属,,林内生常緑高木、葉は互生、鋸歯縁、花は葉腋に１個、花弁の下部合着、上部離生、花糸白色,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_28_4.jpg,,
2805,ユキツバキ（植栽）,33.950253,131.280552,ツバキ科,Camellia var.＝ツバキ属,,福井県〜秋田県地方に分布する変種、花は紅色、花糸は黄色、花弁５〜７枚,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_28_5.jpg,,
2806,サザンカ（植栽）,33.950253,131.280552,ツバキ科,Camellia＝ツバキ属,,山地生常緑低木、若枝は多毛、葉は互生細鋸歯、花弁は紅色５枚、原種は白色、山口県稀産北限,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_28_6.jpg,,
2901,ホソバシャクナゲ,33.950467,131.281034,ツツジ科,Rhododendron subgen.＝シャクナゲ亜属,,酸性土壌を好む常緑低木、高さ４ｍ、分枝する、葉は互生、花は枝端に総状花序紅紫色、花４月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_29_1.jpg,,
3001,タイサンボク（植栽）,33.959065,131.282311,モクレン科,Magnolia＝モクレン属,原産；北アメリカ,常緑高木、枝は太い、葉は革質、上面は光沢、全縁で鈍頭、下面軟毛密生、花は枝端に上向き,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_30_1.jpg,,
3002,コブシ（植栽）,33.959065,131.282311,モクレン科,Magnolia＝モクレン属,,山地生落葉高木、幹は直立、高さ１０ｍ、香気性、葉脈は下面凸出、花は葉に先開、花弁６,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_30_2.jpg,,
3003,サラサモクレン（植栽）,33.959065,131.282311,モクレン科,Magnolia＝モクレン属,,落葉高木、幹は数本直立、分枝、花弁は外面淡紅色、基部濃紅色、内面白色、無結実、花４月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_30_3.jpg,,
3004,ハクモクレン（植栽）,33.959065,131.282311,モクレン科,Magnolia＝モクレン属,原産；中国,落葉高木、幹は直立、多枝、樹皮は灰白色、蕾は長卵形、密毛、花は上向き、白色、香気性,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_30_4.jpg,,
3101,ボタン,33.949682,131.281629,ボタン科,Ｐａｅｏｎｉａ＝ボタン属,原産；中国,落葉小低木、高さ１〜３ｍ、分枝しながら横広がりに成長し枝先に１０〜２０ｃｍの花、花は晩春から初夏,,,
3201,ボタンクサギ（帰化）,33.949201,131.281141,クマツヅラ科,Clerodenndron＝クサギ属,原産；中国南部,落葉低木、高さ１ｍ、葉は心形、歯牙状鋸歯縁、脈上に細毛がある、花は球形で密生、花７月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_32_1.jpg,,
3301,クロマツ（オマツ）,,,マツ科,Pinus＝マツ属,,沿岸部生常緑高木、雌雄同株、樹皮厚く割れる、冬芽の鱗片白色、花序はアカマツと同じ、球果５ｃｍ,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_33_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_33_2.jpg,
3401,クロガネモチ,,,モチノキ科,Ilex＝モチノキ属,,山地生常緑高木、雌雄異株、高さ１５ｍ、葉は楕円形、全縁、葉柄は紫色、実は赤熟、花６月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_34_1.jpg,,
3501,センダン,,,センダン科,Melia＝センダン属,,山地生落葉高木、樹皮は灰黒色、縦裂する、葉は互生２〜３回羽状、小葉は鈍鋸歯縁、花５月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_35_1.jpg,,
3601,ネムノキ,33.958954,131.282488,マメ科,Albizzia＝ネムノキ属,,林縁生落葉高木、高さ１０ｍ、葉互生、偶数羽状複葉、小葉は対生夜たたむ、総状花序花６月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_36_1.jpg,,
