都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
350001,350001460995,山口県,0995,（福）双葉保育園　双葉保育園,（フク）フタバホイクエン　フタバホイクエン,防府市警固町２－７－４９,,34.051289,131.583755,エントランス1階,,,,,,,,,,,
350001,350001460996,山口県,0996,（福）華城保育園　華城保育園,（フク）カジョウホイクエン　カジョウホイクエン,防府市伊佐江町１１－４０,,34.046921,131.549805,玄関,,,,,,,,,,,
350001,350001460997,山口県,0997,（福）華陽会　新田保育園,（フク）カヨウカイ　ニッタホイクエン,防府市大字新田８４７-２,,34.031296,131.565704,事務室,,,,,,,,,,,
350001,350001460998,山口県,0998,（福）小野保育協議会　小野保育園,（フク）オノホイクキョウギカイ　オノホイクエン,防府市大字奈美７５０－１,,34.133392,131.587479,玄関,,,,,,,,,,,
350001,350001460999,山口県,0999,（福）向島保育協議会　向島保育園,（フク）ムコウジマホイクキョウギカイ　ムコウジマホイクエン,防府市大字向島８０６－１２,,34.017887,131.578537,１階玄関,,,,,,,,,,,
350001,350001461000,山口県,1000,（福）牟礼会　東牟礼保育園,（フク）ムレカイ　ヒガシムレホイクエン,防府市大字牟礼８３６－３,,34.065125,131.611771,事務所,,,,,,,,,,,
350001,350001461001,山口県,1001,（福）慈恩会　右田保育園,（フク）ジオンカイ　ミギタホイクエン,防府市大字下右田３９０－１,,34.07251,131.556458,エントランスホール（1階入口）,,,,,,,,,,,
350001,350001461002,山口県,1002,（福）みどり会　西佐波保育園,（フク）ミドリカイ　ニシサバホイクエン,防府市高倉１－１６－１０,,34.055294,131.556824,事務所１階,,,,,,,,,,,
350001,350001461003,山口県,1003,（福）恵日会　勝間保育園,（フク）ケイニチカイ　カツマホイクエン,防府市東三田尻１－８－１,,34.047604,131.574677,正面玄関,,,,,,,,,,,
350001,350001461004,山口県,1004,（福）牟礼会　牟礼保育園,（フク）ムレカイ　ムレホイクエン,防府市牟礼今宿２－１３－２５,,34.053715,131.6035,事務所,,,,,,,,,,,
350001,350001461005,山口県,1005,（福）わかば会　玉祖保育園,（フク）ワカバカイ　ギョクソホイクエン,防府市大字佐野３６２,,34.055721,131.525726,玄関ホール,,,,,,,,,,,
350001,350001461006,山口県,1006,（福）西浦保育園　西浦保育園,（フク）ニシウラホイクエン　ニシウラホイクエン,防府市大字西浦１７３１,,34.022141,131.524155,正面玄関,,,,,,,,,,,
350001,350001461007,山口県,1007,（福）みどり会　みどり保育園,（フク）ミドリカイ　ミドリホイクエン,防府市緑町１－８－９,,34.055012,131.576935,玄関,,,,,,,,,,,
350001,350001461008,山口県,1008,（福）防府滋光会　錦江第二保育園,（フク）ホウフジコウカイ　キンコウダイニホイクエン,防府市大字田島２５８５－１,,34.012531,131.534348,玄関,,,,,,,,,,,
350001,350001461009,山口県,1009,セブンイレブン防府長沢レーク店,セブンイレブンホウフナガサワレークテン,防府市大字台道５３７－２７,,34.06723,131.468307,店舗内,,,,,,,,,,,
350001,350001461010,山口県,1010,セブンイレブン防府大道店,セブンイレブンホウフダイドウテン,防府市大字台道１０２４,,34.062534,131.489105,店舗内,,,,,,,,,,,
350001,350001461011,山口県,1011,サイバーパチンコ防府店,サイバーパチンコホウフテン,防府市植松８２４－２,,34.046623,131.529831,１階ホールカウンター,,,,,,,,,,,
350001,350001461012,山口県,1012,リッツ防府店,リッツホウフテン,防府市開出西町２４－８,,34.05122,131.545181,サービスカウンター,,,,,,,,,,,
350001,350001461013,山口県,1013,防府市地域職業訓練センター,ホウフシチイキショクギョウクンレンセンター,防府市田島５８８－１,,34.02478,131.555664,１階ロビー,,,,,,,,,,,
350001,350001461014,山口県,1014,防府駅西自転車等駐車場,ホウフエキニシジテンシャトウチュウシャジョウ,防府市八王子１－１０７－４,,34.055386,131.566422,管理人室,,,,,,,,,,,
350001,350001461015,山口県,1015,防府市なかよし園,ホウフシナカヨシエン,防府市牟礼８４－１,,34.05619,131.606796,玄関,,,,,,,,,,,
350001,350001461016,山口県,1016,防府市文化財郷土資料館,ホウフシブンカザイキョウドシリョウカン,防府市桑山２－１－１,,34.048988,131.561661,２階エレベーター横,,,,,,,,,,,
350001,350001461017,山口県,1017,防府市英雲荘,ホウフシエイウンソウ,防府市お茶屋町１０－２１,,34.045429,131.574219,１階事務室,,,,,,,,,,,
350001,350001461018,山口県,1018,防府市観光情報館コア銀座,ホウフシカンコウジョウホウカンコアギンザ,防府市天神１－１１－１,,34.055405,131.573593,１階フロア,,,,,,,,,,,
350001,350001461019,山口県,1019,防府市水産総合交流施設（潮彩市場防府）,ホウフシスイサンソウゴウコウリュウシセツ（シオイロドリシジョウホウフ）,防府市新築地町２－３,,34.038353,131.593246,１階エントランスホール,,,,,,,,,,,
350001,350001461020,山口県,1020,防府市クリーンセンター,ホウフシクリーンセンター,防府市大字新田３６４,,34.034164,131.580154,焼却施設　玄関,,,,,,,,,,,
350001,350001461021,山口県,1021,防府市クリーンセンター,ホウフシクリーンセンター,防府市大字新田３６４,,34.034164,131.580154,焼却施設　４階,,,,,,,,,,,
350001,350001461022,山口県,1022,防府市クリーンセンター,ホウフシクリーンセンター,防府市大字新田３６４,,34.034164,131.580154,リサイクル施設　２階,,,,,,,,,,,
350001,350001461023,山口県,1023,（株）中電工防府営業所,カブチュウデンコウホウフエイギョウショ,防府市駅南町１０－６,,34.051197,131.568008,事務所２階,,,,,,,,,,,
350001,350001461024,山口県,1024,防府市役所,ホウフシヤクショ,防府市寿町７－１,,34.052055,131.563461,議会棟,,,,,,,,,,,
350001,350001461025,山口県,1025,防府荷役株式会社,ホウフニヤクカブシキガイシャ,防府市浜方415-33,,34.008205,131.559494,事務所内,,,,,,,,,,,
350001,350001461026,山口県,1026,富海小学校,トノミショウガッコウガッコウ,防府市大字富海１２４８,,34.052181,131.647324,来客用玄関外側,,,,,,,,,,,
350001,350001461027,山口県,1027,牟礼小学校,ムレショウガッコウガッコウ,防府市大字牟礼１０６,,34.05619,131.606796,屋内運動場入口外側,,,,,,,,,,,
350001,350001461028,山口県,1028,牟礼南小学校,ムレミナミショウガッコウガッコウ,防府市大字江泊１３６１,,34.052601,131.605881,来客用玄関外側,,,,,,,,,,,
350001,350001461029,山口県,1029,勝間小学校,カツマショウガッコウガッコウ,防府市警固町２－３－１,,34.051025,131.582184,屋内運動場入口外側,,,,,,,,,,,
