都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
352012,46,山口県,下関市,文洋中学校,ブンヨウチュウガッコウ,下関市上新地町5-6-1,,,,,,,,,,,,,,,
352012,47,山口県,下関市,名陵中学校,メイリョウチュウガッコウ,下関市丸山町1-13-3,,,,,,,,,,,,,,,
352012,48,山口県,下関市,彦島中学校,ヒコシマチュウガッコウ,下関市彦島江の浦町2-25-1,,,,,,,,,,,,,,,
352012,49,山口県,下関市,玄洋中学校,ゲンヨウチュウガッコウ,下関市彦島本村町2-8-1,,,,,,,,,,,,,,,
352012,50,山口県,下関市,長府中学校,チョウフチュウガッコウ,下関市長府逢坂町3-1,,,,,,,,,,,,,,,
352012,51,山口県,下関市,長成中学校,チョウセイチュウガッコウ,下関市長府日の出町4-1,,,,,,,,,,,,,,,
352012,52,山口県,下関市,東部中学校,トウブチュウガッコウ,下関市清末陣屋5-10,,,,,,,,,,,,,,,
352012,53,山口県,下関市,木屋川中学校,コヤガワチュウガッコウ,下関市木屋川南町2-660,,,,,,,,,,,,,,,
352012,54,山口県,下関市,川中中学校,カワナカチュウガッコウ,下関市伊倉新町４丁目６－１,,,,,,,,,,,,,,,
352012,55,山口県,下関市,垢田中学校,アカダチュウガッコウ,下関市大字垢田字笹原1127-6,,,,,,,,,,,,,,,
352012,56,山口県,下関市,安岡中学校,ヤスオカチュウガッコウ,下関市安岡町4-2-1,,,,,,,,,,,,,,,
352012,57,山口県,下関市,吉見中学校,ヨシミチュウガッコウ,下関市永田本町1-3-10,,,,,,,,,,,,,,,
352012,58,山口県,下関市,勝山中学校,カツヤマチュウガッコウ,下関市秋根上町2-5-1,,,,,,,,,,,,,,,
352012,59,山口県,下関市,内日中学校,ウツイチュウガッコウ,下関市大字内日下1196-2,,,,,,,,,,,,,,,
352012,60,山口県,下関市,菊川中学校,キクガワチュウガッコウ,下関市菊川町大字下岡枝1-2,,,,,,,,,,,,,,,
352012,61,山口県,下関市,豊田中学校,トヨタチュウガッコウ,下関市豊田町大字矢田434,,,,,,,,,,,,,,,
352012,62,山口県,下関市,豊洋中学校,ホウヨウチュウガッコウ,下関市豊浦町大字黒井724-1,,,,,,,,,,,,,,,
352012,63,山口県,下関市,夢が丘中学校,ユメガオカチュウガッコウ,下関市豊浦町大字小串145,,,,,,,,,,,,,,,
352012,64,山口県,下関市,豊北中学校,ホウホクチュウガッコウ,下関市豊北町大字滝部1244-36,,,,,,,,,,,,,,,
352012,65,山口県,下関市,下関市市民プール,シモノセキシシミンプール,下関市長府扇町3-64,,,,,,,,,,,,,,,
352012,66,山口県,下関市,下関市長府体育館,シモノセキシチョウフタイイクカン,下関市長府江下町3-15,,,,,,,,,,,,,,,
352012,67,山口県,下関市,下関市彦島体育館,シモノセキシヒコシマタイイクカン,下関市彦島迫町4-16-1,,,,,,,,,,,,,,,
352012,68,山口県,下関市,養治小学校,ヨウジショウガッコウ,下関市本町2-6-1,,,,,,,,,,,,,,,
352012,69,山口県,下関市,文関小学校,ブンカンショウガッコウ,下関市上田中町1-14-1,,,,,,,,,,,,,,,
352012,70,山口県,下関市,名陵小学校,メイリョウショウガッコウ,下関市名池町10-1,,,,,,,,,,,,,,,
352012,71,山口県,下関市,関西小学校,カンセイショウガッコウ,下関市関西町12-1,,,,,,,,,,,,,,,
352012,72,山口県,下関市,桜山小学校,サクラヤマショウガッコウ,下関市上新地町2-5-10,,,,,,,,,,,,,,,
352012,73,山口県,下関市,火の山ロープウェー上駅,ヒノヤマロープウェーウエエキ,下関市みもすそ川町９－２,,,,,,,,,,,,,,,
352012,74,山口県,下関市,向山小学校,ムカイヤマショウガッコウ,下関市向山町14-1,,,,,,,,,,,,,,,
352012,75,山口県,下関市,生野小学校,イクノショウガッコウ,下関市幡生本町7-14,,,,,,,,,,,,,,,
352012,76,山口県,下関市,本村小学校,ホンムラショウガッコウ,下関市彦島本村町3-16-1,,,,,,,,,,,,,,,
352012,77,山口県,下関市,西山小学校,ニシヤマショウガッコウ,下関市彦島迫町5-13-21,,,,,,,,,,,,,,,
352012,78,山口県,下関市,江の浦小学校,エノウラショウガッコウ,下関市彦島江の浦町3-4-1,,,,,,,,,,,,,,,
352012,79,山口県,下関市,角倉小学校,スマクラショウガッコウ,下関市彦島角倉町3-5-5,,,,,,,,,,,,,,,
352012,80,山口県,下関市,向井小学校,ムカイショウガッコウ,下関市彦島向井町2-20-1,,,,,,,,,,,,,,,
352012,81,山口県,下関市,小月小学校,オヅキショウガッコウ,下関市小月西の台6-1,,,,,,,,,,,,,,,
352012,82,山口県,下関市,清末小学校,キヨスエショウガッコウ,下関市清末西町1-6-1,,,,,,,,,,,,,,,
352012,83,山口県,下関市,王司小学校,オウジショウガッコウ,下関市王司神田6-9-1,,,,,,,,,,,,,,,
352012,84,山口県,下関市,豊浦小学校,トヨラショウガッコウ,下関市長府亀の甲2-2-1,,,,,,,,,,,,,,,
352012,85,山口県,下関市,勝山小学校,カツヤマショウガッコウ,下関市秋根上町2-2-1,,,,,,,,,,,,,,,
352012,86,山口県,下関市,川中小学校,カワナカショウガッコウ,下関市伊倉本町19-1,,,,,,,,,,,,,,,
352012,87,山口県,下関市,安岡小学校,ヤスオカショウガッコウ,下関市安岡町3-5-5,,,,,,,,,,,,,,,
352012,88,山口県,下関市,吉見小学校,ヨシミショウガッコウ,下関市吉見里町1-8-1,,,,,,,,,,,,,,,
352012,89,山口県,下関市,吉母小学校,ヨシモショウガッコウ,下関市大字吉母字塩谷287,,,,,,,,,,,,,,,
352012,90,山口県,下関市,蓋井小学校,フタオイショウガッコウ,下関市大字蓋井島字田町126-2,,,,,,,,,,,,,,,
352012,91,山口県,下関市,吉田小学校,ヨシダショウガッコウ,下関市大字吉田字高田1044-2,,,,,,,,,,,,,,,
352012,92,山口県,下関市,王喜小学校,オウキショウガッコウ,下関市王喜本町2-12-30,,,,,,,,,,,,,,,
352012,93,山口県,下関市,内日小学校,ウツイショウガッコウ,下関市大字内日下1031,,,,,,,,,,,,,,,
352012,94,山口県,下関市,山の田小学校,ヤマノタショウガッコウ,下関市山の田中央町13-1,,,,,,,,,,,,,,,
352012,95,山口県,下関市,川中西小学校,カワナカニシショウガッコウ,下関市古屋町2-9-1,,,,,,,,,,,,,,,
352012,96,山口県,下関市,垢田小学校,アカダショウガッコウ,下関市新垢田西町1-1-1,,,,,,,,,,,,,,,
352012,97,山口県,下関市,長府小学校,チョウフショウガッコウ,下関市長府松小田北町14-1,,,,,,,,,,,,,,,
352012,98,山口県,下関市,一の宮小学校,イチノミヤショウガッコウ,下関市一の宮住吉1-8-1,,,,,,,,,,,,,,,
352012,99,山口県,下関市,熊野小学校,クマノショウガッコウ,下関市熊野西町10-1,,,,,,,,,,,,,,,
352012,100,山口県,下関市,豊東小学校,トヨヒガシショウガッコウ,下関市菊川町大字上大野字上ノ原20-1,,,,,,,,,,,,,,,
352012,101,山口県,下関市,岡枝小学校,オカエダショウガッコウ,下関市菊川町大字吉賀字金蔵寺2494,,,,,,,,,,,,,,,
352012,102,山口県,下関市,楢崎小学校,ナラザキショウガッコウ,下関市菊川町大字楢崎字殿屋敷215,,,,,,,,,,,,,,,
352012,103,山口県,下関市,新港第１号管理棟（長州出島）,シンコウダイ１ゴウカンリトウ（チョウシュウデジマ）,下関市長州出島３－１,,,,,,,,,,,,,,,
352012,104,山口県,下関市,乃木浜総合グランドゴルフ場管理事務所,ノギハマソウゴウグランドゴルフジョウカンリジムショ,下関市乃木浜一丁目,,,,,,,,,,,,,,,
352012,105,山口県,下関市,西市小学校,ニシイチショウガッコウ,下関市豊田町大字矢田字今熊132,,,,,,,,,,,,,,,
352012,106,山口県,下関市,豊田下小学校,トヨタシモショウガッコウ,下関市豊田町大字手洗字貴布祢303,,,,,,,,,,,,,,,
352012,107,山口県,下関市,室津小学校,ムロツショウガッコウ,下関市豊浦町大字室津下字新田152-1,,,,,,,,,,,,,,,
352012,108,山口県,下関市,誠意小学校,セイイショウガッコウ,下関市豊浦町大字黒井字才舛2200,,,,,,,,,,,,,,,
352012,109,山口県,下関市,川棚小学校,カワタナショウガッコウ,下関市豊浦町大字川棚字後楽3650-1,,,,,,,,,,,,,,,
352012,110,山口県,下関市,小串小学校,コグシショウガッコウ,下関市豊浦町大字小串字谷田ｹ浴617,,,,,,,,,,,,,,,
352012,111,山口県,下関市,宇賀小学校,ウガショウガッコウ,下関市豊浦町大字宇賀字4966,,,,,,,,,,,,,,,
352012,112,山口県,下関市,下関市駅北自転車駐車場,シモノセキシエキキタジテンシャチュウシャジョウ,下関市竹崎町四丁目1-3,,,,,,,,,,,,,,,
352012,113,山口県,下関市,下関市身体障害者福祉センター,シモノセキシシンタイショウガイシャフクシセンター,下関市貴船町三丁目1-43,,,,,,,,,,,,,,,
352012,114,山口県,下関市,下関市豊田武道館,シモノセキシトヨタブドウカン,下関市豊田町大字矢田208番地3,,,,,,,,,,,,,,,
352012,115,山口県,下関市,夢ケ丘公園プール,ユメガオカコウエンプール,下関市豊浦町大字小串322番地,,,,,,,,,,,,,,,
352012,116,山口県,下関市,豊北小学校,ホウホクショウガッコウ,下関市豊北町大字滝部字常安1200,,,,,,,,,,,,,,,
352012,117,山口県,下関市,下関市立中央図書館,シモノセキシリツチュウオウトショカン,下関市細江町三丁目１－１,,,,,,,,,,,,,,,
352012,118,山口県,下関市,第一幼稚園,ダイイチヨウチエン,下関市貴船町3-11-12,,,,,,,,,,,,,,,
352012,119,山口県,下関市,東行記念館,トウギョウキネンカン,下関市大字吉田１１８４,,,,,,,,,,,,,,,
352012,120,山口県,下関市,かんせい(教育支援教室),カンセイ（キョウイクシエンキョウシツ）,下関市関西町12-1（関西小内）,,,,,,,,,,,,,,,
352012,121,山口県,下関市,下関市豊田農村勤労福祉センター,シモノセキシトヨタノウソンキンロウフクシセンター,下関市豊田町浮石2528-1,,,,,,,,,,,,,,,
352012,122,山口県,下関市,豊浦幼稚園,トヨラヨウチエン,下関市長府亀の甲2-2-82,,,,,,,,,,,,,,,
352012,123,山口県,下関市,小月幼稚園,オヅキヨウチエン,下関市小月宮の町15-20,,,,,,,,,,,,,,,
352012,124,山口県,下関市,楢崎公民館,ナラザキコウミンカン,下関市菊川町大字楢790番地１,,,,,,,,,,,,,,,
352012,125,山口県,下関市,清末幼稚園,キヨスエヨウチエン,下関市清末西町1-6-1,,,,,,,,,,,,,,,
352012,126,山口県,下関市,ｵｰﾋﾞｼﾞｮﾝｽﾀｼﾞｱﾑ下関第二球場,オービジョンスタジアムシモノセキダイニキュウジョウ,下関市冨任子迫,,,,,,,,,,,,,,,
352012,127,山口県,下関市,移動図書館（中央図書館内）,イドウトショカン（チュウオウトショカンナイ）,下関市細江町三丁目１－１,,,,,,,,,,,,,,,
352012,128,山口県,下関市,菊川農村婦人の家,キクガワノウソンフジンノイエ,下関市菊川町大字上岡枝７５９番地２,,,,,,,,,,,,,,,
352012,129,山口県,下関市,川中幼稚園,カワナカヨウチエン,下関市伊倉本町21-1,,,,,,,,,,,,,,,
352012,130,山口県,下関市,発達センター　どーなつ,ハッタツセンタードーナツ,下関市幡生新町１－１０,,,,,,,,,,,,,,,
352012,131,山口県,下関市,下関市垢田体育館,シモノセキシアカダタイイクカン,下関市大字垢田石交１３３９－１,,,,,,,,,,,,,,,
352012,132,山口県,下関市,豊東幼稚園,トヨヒガシヨウチエン,下関市菊川町大字上大野字上ノ原20-1,,,,,,,,,,,,,,,
352012,133,山口県,下関市,吉母管理場,ヨシモカンリジョウ,下関市大字吉母字舟頭332-1,,,,,,,,,,,,,,,
352012,134,山口県,下関市,角島灯台公園,ツノシマトウダイコウエン,下関市角島,,,,,,,,,,,,,,,
352012,135,山口県,下関市,西市こども園,ニシイチコドモエン,下関市豊田町大字矢田字横の田184,,,,,,,,,,,,,,,
352012,136,山口県,下関市,下関市教育センター,シモノセキシキョウイクセンター,下関市幡生新町１－１,,,,,,,,,,,,,,,
352012,137,山口県,下関市,黒井公民館,クロイコウミンカン,下関市豊浦町大字黒井2345-1,,,,,,,,,,,,,,,
352012,138,山口県,下関市,豊北斎場,ホウホクサイジョウ,下関市豊北町阿川3864-1,,,,,,,,,,,,,,,
352012,139,山口県,下関市,川棚こども園,カワタナコドモエン,下関市豊浦町大字川棚字古川3631,,,,,,,,,,,,,,,
352012,140,山口県,下関市,豊北こども園,ホウホクコドモエン,下関市豊北町大字滝部字上ノ原2992-1,,,,,,,,,,,,,,,
352012,141,山口県,下関市,彦島第一保育園,ヒコシマダイイチホイクエン,下関市彦島福浦町2-17-1,,,,,,,,,,,,,,,
352012,142,山口県,下関市,名池保育園,メイチホイクエン,下関市名池町10-2,,,,,,,,,,,,,,,
352012,143,山口県,下関市,田中町庁舎,タナカマチチョウシャ,下関市田中町５－６,,,,,,,,,,,,,,,
352012,144,山口県,下関市,王喜こども園,オウキコドモエン,下関市王喜本町2-15-1,,,,,,,,,,,,,,,
352012,145,山口県,下関市,垢田こども園,アカダコドモエン,下関市新垢田東町1-2-7,,,,,,,,,,,,,,,
352012,146,山口県,下関市,カラトピア５階ホール会議室,カラトピア5カイホールカイギシツ,下関市唐戸町４－１,,,,,,,,,,,,,,,
352012,147,山口県,下関市,動物愛護管理センター,ドウブツアイゴカンリセンター,下関市井田,,,,,,,,,,,,,,,
352012,148,山口県,下関市,幸町保育園,サイワイマチホイクエン,下関市幸町18-6,,,,,,,,,,,,,,,
352012,149,山口県,下関市,長府第一保育園,チョウフダイイチホイクエン,下関市長府宮の内町1-38,,,,,,,,,,,,,,,
352012,150,山口県,下関市,長府第二保育園,チョウフダイニホイクエン,下関市長府中六波町12-26,,,,,,,,,,,,,,,
352012,151,山口県,下関市,長府第三保育園,チョウフダイサンホイクエン,下関市長府松小田本町1-38,,,,,,,,,,,,,,,
