trans_id,lang,translation
藤河内,ja,藤河内
藤河内,ja-Hrkt,ふじこうち
藤河内,en,Fujikochi
藤河内,ko,후지코치
藤河内,zh-cn,藤河内
藤河内,zh-tw,藤河內
鈴張落合,ja,鈴張落合
鈴張落合,ja-Hrkt,すずはりおちあい
鈴張落合,en,Suzuhari Ochiai
鈴張落合,ko,스즈하리 오치아이
鈴張落合,zh-cn,铃张落合
鈴張落合,zh-tw,鈴張落合
上西谷,ja,上西谷
上西谷,ja-Hrkt,かみにしたに
上西谷,en,Kami-nishitani
上西谷,ko,가미니시타니
上西谷,zh-cn,上西谷
上西谷,zh-tw,上西谷
柏尾,ja,柏尾
柏尾,ja-Hrkt,かしわお
柏尾,en,Kashiwao
柏尾,ko,가시와오
柏尾,zh-cn,柏尾
柏尾,zh-tw,柏尾
久保角橋,ja,久保角橋
久保角橋,ja-Hrkt,くぼすみばし
久保角橋,en,Kubosumibashi
久保角橋,ko,구보스미바시
久保角橋,zh-cn,久保角桥
久保角橋,zh-tw,久保角橋
ゆりかご荘前,ja,ゆりかご荘前
ゆりかご荘前,ja-Hrkt,ゆりかごそうまえ
ゆりかご荘前,en,Yurikagoso-mae
ゆりかご荘前,ko,유리카고소 마에
ゆりかご荘前,zh-cn,摇篮庄前
ゆりかご荘前,zh-tw,搖籃莊前
大仙原,ja,大仙原
大仙原,ja-Hrkt,だいせんばら
大仙原,en,Daisembara
大仙原,ko,다이센하라
大仙原,zh-cn,大仙原
大仙原,zh-tw,大仙原
吉木口,ja,吉木口
吉木口,ja-Hrkt,よしきぐち
吉木口,en,Yoshiki-guchi
吉木口,ko,요시키 구치
吉木口,zh-cn,吉木口
吉木口,zh-tw,吉木口
橋詰橋,ja,橋詰橋
橋詰橋,ja-Hrkt,はしづめばし
橋詰橋,en,Hashizumebashi
橋詰橋,ko,하시즈메바시
橋詰橋,zh-cn,桥诘桥
橋詰橋,zh-tw,橋詰橋
瀬山,ja,瀬山
瀬山,ja-Hrkt,せやま
瀬山,en,Seyama
瀬山,ko,세야마
瀬山,zh-cn,濑山
瀬山,zh-tw,瀨山
龍頭山登山口,ja,龍頭山登山口
龍頭山登山口,ja-Hrkt,りゅうずやまとざんぐち
龍頭山登山口,en,Ryuzuyama Tozan-guchi (Mt. Ryuzuyama)
龍頭山登山口,ko,류즈야마 토잔구치
