trans_id,lang,translation,category,station_sid,course_sid
洞庭,en,Doniwa,stop_name,9db123d6-d16a-4e2c-a1a4-54135e90c65a,
洞庭,ko,도니와,stop_name,9db123d6-d16a-4e2c-a1a4-54135e90c65a,
洞庭,zh-cn,洞庭,stop_name,9db123d6-d16a-4e2c-a1a4-54135e90c65a,
洞庭,zh-tw,洞庭,stop_name,9db123d6-d16a-4e2c-a1a4-54135e90c65a,
高平寺,ja,高平寺,stop_name,4201849b-fc96-4814-aa19-ecce917fcc82,
高平寺,ja-Hrkt,こうへいじ,stop_name,4201849b-fc96-4814-aa19-ecce917fcc82,
高平寺,en,Koheiji (Koheiji Temple),stop_name,4201849b-fc96-4814-aa19-ecce917fcc82,
高平寺,ko,고헤이지,stop_name,4201849b-fc96-4814-aa19-ecce917fcc82,
高平寺,zh-cn,高平寺,stop_name,4201849b-fc96-4814-aa19-ecce917fcc82,
高平寺,zh-tw,高平寺,stop_name,4201849b-fc96-4814-aa19-ecce917fcc82,
入江大橋,ja,入江大橋,stop_name,2738b890-edf3-420e-86ec-6c7034d60498,
入江大橋,ja-Hrkt,いりえおおはし,stop_name,2738b890-edf3-420e-86ec-6c7034d60498,
入江大橋,en,Irie-ohashi,stop_name,2738b890-edf3-420e-86ec-6c7034d60498,
入江大橋,ko,이리에 오하시,stop_name,2738b890-edf3-420e-86ec-6c7034d60498,
入江大橋,zh-cn,入江大桥,stop_name,2738b890-edf3-420e-86ec-6c7034d60498,
入江大橋,zh-tw,入江大橋,stop_name,2738b890-edf3-420e-86ec-6c7034d60498,
室積団地入口,ja,室積団地入口,stop_name,c64c4c65-36b3-4361-a96a-75717f042bc9,
室積団地入口,ja-Hrkt,むろづみだんちいりぐち,stop_name,c64c4c65-36b3-4361-a96a-75717f042bc9,
室積団地入口,en,Murozumi Danchi-iriguchi,stop_name,c64c4c65-36b3-4361-a96a-75717f042bc9,
室積団地入口,ko,무로즈미 단치 이리구치,stop_name,c64c4c65-36b3-4361-a96a-75717f042bc9,
室積団地入口,zh-cn,室积团地入口,stop_name,c64c4c65-36b3-4361-a96a-75717f042bc9,
室積団地入口,zh-tw,室積團地入口,stop_name,c64c4c65-36b3-4361-a96a-75717f042bc9,
上都志見,ja,上都志見,stop_name,e51d88cf-c611-4e42-bb67-ccefc3073a7c,
上都志見,ja-Hrkt,かみつしみ,stop_name,e51d88cf-c611-4e42-bb67-ccefc3073a7c,
上都志見,en,Kami-tsushimi,stop_name,e51d88cf-c611-4e42-bb67-ccefc3073a7c,
上都志見,ko,가미쓰시미,stop_name,e51d88cf-c611-4e42-bb67-ccefc3073a7c,
上都志見,zh-cn,上都志见,stop_name,e51d88cf-c611-4e42-bb67-ccefc3073a7c,
上都志見,zh-tw,上都誌見,stop_name,e51d88cf-c611-4e42-bb67-ccefc3073a7c,
高井,ja,高井,stop_name,703597f2-bbe4-4261-ba6b-ce30df53efcb,
高井,ja-Hrkt,たかい,stop_name,703597f2-bbe4-4261-ba6b-ce30df53efcb,
高井,en,Takai,stop_name,703597f2-bbe4-4261-ba6b-ce30df53efcb,
高井,ko,다카이,stop_name,703597f2-bbe4-4261-ba6b-ce30df53efcb,
高井,zh-cn,高井,stop_name,703597f2-bbe4-4261-ba6b-ce30df53efcb,
高井,zh-tw,高井,stop_name,703597f2-bbe4-4261-ba6b-ce30df53efcb,
美鈴が丘小学校,ja,美鈴が丘小学校,stop_name,b1730a86-125c-4c5f-8eeb-50e4b18a9ec1,
美鈴が丘小学校,ja-Hrkt,みすずがおかしょうがっこう,stop_name,b1730a86-125c-4c5f-8eeb-50e4b18a9ec1,
美鈴が丘小学校,en,Misuzugaoka Shogakko (Misuzugaoka Elementary School),stop_name,b1730a86-125c-4c5f-8eeb-50e4b18a9ec1,
美鈴が丘小学校,ko,미스즈가오카 초등학교,stop_name,b1730a86-125c-4c5f-8eeb-50e4b18a9ec1,
美鈴が丘小学校,zh-cn,美铃丘小学,stop_name,b1730a86-125c-4c5f-8eeb-50e4b18a9ec1,
美鈴が丘小学校,zh-tw,美鈴丘小學,stop_name,b1730a86-125c-4c5f-8eeb-50e4b18a9ec1,
阿品台東小学校,ja,阿品台東小学校,stop_name,fb955a6b-f13b-4716-942e-da6bee1065fa,
阿品台東小学校,ja-Hrkt,あじなだいひがししょうがっこう,stop_name,fb955a6b-f13b-4716-942e-da6bee1065fa,
阿品台東小学校,en,Ajinadai-higashi Shogakko (Ajinadai-higashi Elementary School),stop_name,fb955a6b-f13b-4716-942e-da6bee1065fa,
阿品台東小学校,ko,아지나다이 히가시 초등학교,stop_name,fb955a6b-f13b-4716-942e-da6bee1065fa,
阿品台東小学校,zh-cn,阿品台东小学,stop_name,fb955a6b-f13b-4716-942e-da6bee1065fa,
阿品台東小学校,zh-tw,阿品臺東小學,stop_name,fb955a6b-f13b-4716-942e-da6bee1065fa,
阿品台公園前,ja,阿品台公園前,stop_name,e9f028a7-51cc-4d72-9e7b-2de182b0d32b,
阿品台公園前,ja-Hrkt,あじなだいこうえんまえ,stop_name,e9f028a7-51cc-4d72-9e7b-2de182b0d32b,
阿品台公園前,en,Ajinadai Koen-mae (Ajinadai Park),stop_name,e9f028a7-51cc-4d72-9e7b-2de182b0d32b,
阿品台公園前,ko,아지나다이 공원,stop_name,e9f028a7-51cc-4d72-9e7b-2de182b0d32b,
阿品台公園前,zh-cn,阿品台公园前,stop_name,e9f028a7-51cc-4d72-9e7b-2de182b0d32b,
阿品台公園前,zh-tw,阿品臺公園前,stop_name,e9f028a7-51cc-4d72-9e7b-2de182b0d32b,
廿日市西高校前,ja,廿日市西高校前,stop_name,1791ed7b-c371-4c61-a76b-2fe3320247c7,
廿日市西高校前,ja-Hrkt,はつかいちにしこうこうまえ,stop_name,1791ed7b-c371-4c61-a76b-2fe3320247c7,
廿日市西高校前,en,Hatsukaichi-nishi Koko-mae (Hatsukaichi-nishi High School),stop_name,1791ed7b-c371-4c61-a76b-2fe3320247c7,
廿日市西高校前,ko,하쓰카이치 니시 고등학교,stop_name,1791ed7b-c371-4c61-a76b-2fe3320247c7,
