赤ちゃんの駅_全国地方公共団体コード,施設_ID,赤ちゃんの駅_ID,赤ちゃんの駅_名称,赤ちゃんの駅_名称（カナ）,赤ちゃんの駅_名称（英字）,赤ちゃんの駅_説明,赤ちゃんの駅_緯度,赤ちゃんの駅_経度,赤ちゃんの駅_座標参照系,赤ちゃんの駅_座標参照系コード,赤ちゃんの駅_施設区分,赤ちゃんの駅_お湯の有無,,
352152,BSOAN0000037,BSOAN0000037,周南市須々万支所・市民センター,,,赤ちゃん向けの施設です,34.12250244,131.86908963,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000038,BSOAN0000038,周南市須金支所・市民センター,,,赤ちゃん向けの施設です,34.1962015,131.9266424,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000039,BSOAN0000039,周南市長穂支所・市民センター,,,赤ちゃん向けの施設です,34.1367389,131.84286398,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000040,BSOAN0000040,周南市川崎会館,,,赤ちゃん向けの施設です,34.07116332,131.78016292,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000041,BSOAN0000041,周南市菊川支所・市民センター,,,赤ちゃん向けの施設です,34.09367841,131.78380612,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000042,BSOAN0000042,周南市戸田支所・市民センター,,,赤ちゃん向けの施設です,34.07791094,131.68723254,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000043,BSOAN0000043,周南市立鹿野図書館,,,赤ちゃん向けの施設です,34.2232169,131.8189975,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000044,BSOAN0000044,周南市鹿野総合支所,,,赤ちゃん向けの施設です,34.23207,131.81735,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000045,BSOAN0000045,周南市高水会館,,,赤ちゃん向けの施設です,34.05548664,131.97493763,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000046,BSOAN0000046,周南市大河内市民センター,,,赤ちゃん向けの施設です,34.02814413,131.9411603,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000047,BSOAN0000047,周南市三丘市民センター,,,赤ちゃん向けの施設です,34.03497781,131.98126812,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000048,BSOAN0000048,㈱イズミゆめタウン新南陽,,,赤ちゃん向けの施設です,34.067589,131.774957,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000049,BSOAN0000049,イオンタウン周南,,,赤ちゃん向けの施設です,34.065286,131.76199,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000050,BSOAN0000050,子育て支援センターマーガレット,,,赤ちゃん向けの施設です,34.0607304,131.776285,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000051,BSOAN0000051,和光保育園子育て支援センター,,,赤ちゃん向けの施設です,34.037218,131.8230909,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000052,BSOAN0000052,子育て支援センターさんさん,,,赤ちゃん向けの施設です,34.0677952,131.7681666,世界測地系,EPSG:4326,市区町村,,,
