都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
353442,1,山口県,平生町,平生町立平生小学校,,,,山口県熊毛郡平生町大字大野南83,,33.933826,132.077453,(0820)56-2015,,,,,,,,子育て・教育,,,
353442,2,山口県,平生町,平生町立佐賀小学校,,,,山口県熊毛郡平生町大字佐賀2020,,33.897022,132.081113,(0820)58-0024,,,,,,,,子育て・教育,,,
353442,3,山口県,平生町,平生町立平生中学校,,,,山口県熊毛郡平生町大字1844,,33.924042,132.072791,(0820)56-2053,,,,,,,,子育て・教育,,,
