どんな場所ですか？,誰に教えたいですか？,どんなことを伝える情報ですか？,どれくらい伝えたい情報ですか？,経度,緯度,画像
【防犯】安全な場所,地域のみんな,"遠石小学校
防犯でも災害でも安全。",絶対に伝えたい,131.8180876,34.04271463,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_175.jpeg
【防犯】安全な場所,子ども,"陸上競技場
公園の近くで人が多いから、安全。",どちらでもよい,131.8272372,34.04421497,https://yamaguchi-opendata.jp/ckan/file-upload-system/35215/R5_toishisyo_map_image/safemap_toishi_183.jpeg
