都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
353051,1,山口県,周防大島町,大島中学校,オオシマチュウガッコウ,,,山口県周防大島町大字西屋代2598,,33.924827,132.198572,(0820)74-2074,,,,,,,,,,,
353051,2,山口県,周防大島町,周防大島中学校,スオウオオシマチュウガッコウ,,,山口県周防大島町大字久賀4823,,33.946109,132.262545,(0820)72-0089,,,,,,,,,,,
353051,3,山口県,周防大島町,情島中学校（休校）,ナサケジマチュウガッコウ（キュウコウ）,,,山口県周防大島町大字伊保田163,,,,(0820)75-0301,,,,,,,,,,,
