都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
353051,1,山口県,周防大島町,山口県立周防大島高等学校（安下庄校舎）,ヤマグチケンリツスオウオオシマコウトウガッコウ（アゲノショウコウシャ）,,,山口県周防大島町大字西安下庄489,,33.896898,132.278478,(0820)77-1048,,,,,,,,,,,
353051,2,山口県,周防大島町,山口県立周防大島高等学校（久賀校舎）,ヤマグチケンリツスオウオオシマコウトウガッコウ（クカコウシャ）,,,山口県周防大島町大字久賀4851-2,,33.944685,132.263751,(0820)72-0024,,,,,,,,,,,
