"名称","所在地","経度","緯度","分類"
"伊佐中学校","美祢市伊佐町伊佐西台4616","131.239889985937","34.1690506188706","中学校区"
"於福中学校","美祢市於福町上字上古屋4319","131.193055536198","34.2452491113937","中学校区"
"厚保中学校","美祢市西厚保町本郷189-3","131.148546028899","34.1201772929491","中学校区"
"秋芳中学校","美祢市秋吉5100","131.27491008469","34.2487684741125","中学校区"
"大嶺中学校","美祢市大嶺町東分中山3020","131.167686947163","34.1860999070986","中学校区"
"美東中学校","美祢市大田6258","131.356532217966","34.2309394050632","中学校区"
