学校ID,学校コード,学校所在地_都道府県名,学校所在地_郡名,学校所在地_市区町村名,学校所在地_行政区名,学校所在地_全国地方公共団体コード,学校名称,学校名称_カナ,行政サービス拠点種別,通学区域_登録年月日,通学区域_廃止日,通学区域の住所,特記事項,ポリゴン_ファイル名
KD0001500001,B135210001222,山口県,,下松市,,352071,下松市立下松小学校,クダマツシリツクダマツショウガッコウ,1503,2023-04-01,,大字東豊井（二宮町１丁目、二宮町２丁目、二宮町３丁目、寺迫、住吉町、神田町、松神町本通、松神町北通、新町、幸町）、大字西豊井、大字河内（殿ヶ浴、つつじヶ丘、昭和通上、城山町、大河内、吉原、法蓮寺）、旗岡１丁目、旗岡２丁目、旗岡３丁目、旗岡４丁目、旗岡５丁目、古川町１丁目、古川町２丁目、古川町３丁目、古川町４丁目、青柳１丁目、青柳２丁目、北斗町、栄町１丁目、栄町２丁目、栄町３丁目、大手町１丁目、大手町２丁目、大手町３丁目、東柳１丁目、東柳２丁目、西柳１丁目、西柳２丁目、西柳３丁目、昭和町１丁目、昭和町２丁目、若宮町、桜町１丁目、桜町２丁目、桜町３丁目（３番～１５番、１６番２号、３号、１７番）、楠木町１丁目（５番３号、６号）、中市１丁目、中市２丁目、駅南１丁目、駅南２丁目、新川１丁目、新川２丁目、新川３丁目、新川４丁目、大字笠戸島、中央町（２番１５号、２０号、２３号、２６号、３４号、３６号、３９号～４１号、４３号、３番１３号、１５号、１６号、９番１８号、２０号）、中島町１丁目、中島町２丁目,,
KD0001500002,B135210001231,山口県,,下松市,,352071,下松市立久保小学校,クダマツシリツクボショウガッコウ,1503,2023-04-01,,大字河内（谷中戸原、出合、岡の原町、小野、黒杭、来巻東、来巻西、川瀬団地、日の出町、青葉台、幸ヶ丘、セントシティ、岡市、第２河内宿舎、久保市）、大字来巻（来巻東、来巻西）、大字山田、大字切山（添谷、来巻東、久保市）、東和１丁目、東和２丁目、桃山町、星が丘１丁目、星が丘２丁目、星が丘３丁目、葉山１丁目、葉山２丁目,,
KD0001500003,B135210001240,山口県,,下松市,,352071,下松市立公集小学校,クダマツシリツコウシュウショウガッコウ,1503,2023-04-01,,大字末武中（荒神）、大字末武下、大字平田（東開作、西開作）、中央町（１番、２番１号、６号、２５号、３番２号、４番～８番、９番９号、１０番～１４番）、美里町１丁目、美里町２丁目、美里町３丁目、美里町４丁目、望町２丁目、望町３丁目（１番４号、６号、７号、３番１１号、１３号、１５号、４番１号～１２号、２１号、２３号、５番、６番、７番５号～７号、８番～１８番）、望町４丁目（４番、８番、９番、１４番）、瑞穂町１丁目、瑞穂町２丁目（１番～１１番１１号、１２番～１５番、１６番８号、１２号～１６号、２２番１号、２号、７号）、潮音町１丁目、潮音町２丁目、潮音町３丁目（１番～１０番８号、２１号、２２号、１６番１号、１７番～１９番１５号）、潮音町５丁目（２番５号～３０号、６番１７号、２１号、２３号、２５号、７番、９番～１６番）、潮音町６丁目、潮音町７丁目、潮音町８丁目、桜町３丁目（１番～２番、１６番８号～２１号、１８番、１９番）、楠木町１丁目（１番～４番、５番１２号～３０号、６番～１８番）、楠木町２丁目、藤光町１丁目、藤光町２丁目、せせらぎ町１丁目、せせらぎ町２丁目、せせらぎ町３丁目、西市１丁目、西市２丁目、西市３丁目,,
KD0001500004,B135210001259,山口県,,下松市,,352071,下松市立花岡小学校,クダマツシリツハナオカショウガッコウ,1503,2023-04-01,,大字生野屋、大字末武上、大字末武中（上広石、下広石、緑ヶ丘）、大字瀬戸（高橋）、生野屋１丁目、生野屋２丁目、生野屋３丁目、生野屋４丁目、生野屋５丁目、生野屋西１丁目、生野屋西２丁目、生野屋西３丁目、生野屋西４丁目、生野屋南１丁目、生野屋南２丁目、生野屋南３丁目、南花岡１丁目（１番～７番、９番～１８番、１９番４号、６号、２１番３１号、３５号、３６号、２３番３号～１１号、１６号）、南花岡２丁目、南花岡３丁目、南花岡４丁目、南花岡５丁目、南花岡６丁目、南花岡７丁目,,
KD0001500005,B135210001268,山口県,,下松市,,352071,下松市立豊井小学校,クダマツシリツトヨイショウガッコウ,1503,2023-04-01,,大字東豊井（洲鼻、上恋ヶ浜、下豊井、上豊井、寺迫半上）、琴平町１丁目、琴平町２丁目,,
KD0001500006,B135210001277,山口県,,下松市,,352071,下松市立中村小学校,クダマツシリツナカムラショウガッコウ,1503,2023-04-01,,大字末武中（朝日台、西河原西、西河原東、向香力、山根、和田、下和田、山手町）、望町１丁目、望町３丁目（１番１号～３号、５号、１５号～１８号、２３号～３８号、２番、３番１号～１０号、１６号～２５号、４番２０号、２２号、７番１号、１２号、２６号～５２号）、望町４丁目（１番～３番、５番～７番、１０番～１３番）、望町５丁目、清瀬町１丁目、清瀬町２丁目、清瀬町３丁目、清瀬町４丁目、瑞穂町２丁目（１１番１５号～２０号、１６番９号～１１号、１７番～２１番、２２番３号～６号、８号、１０号、２３番）、瑞穂町３丁目、瑞穂町４丁目、潮音町３丁目（１０番１０号、１１番～１５番、１６番８号～１８号、２０号、１９番２０号～２１号）、潮音町４丁目、潮音町５丁目（1番～２番４号、３２号、４１号、３番～５番、６番９号、１３号、８番）、南花岡１丁目（８番、１９番１号、３号、５号、７号、２０番～２１番３０号、３３号、３４号、３７号、２２番１２号、２１号、２３号～２６号、２９号、３０号、２３番１５号、１７号、１８号）,,
KD0001500007,B135210001286,山口県,,下松市,,352071,下松市立米川小学校,クダマツシリツヨネガワショウガッコウ,1503,2023-04-01,,大字瀬戸（瀬戸、中瀬、東中原、中原、後山）、大字下谷、大字中須南、大字温見、大字大藤谷,（休校中のため花岡小へ通学）,
KD0001500008,B135210001295,山口県,,下松市,,352071,下松市立東陽小学校,クダマツシリツトウヨウショウガッコウ,1503,2023-04-01,,大字切山（切山上、切山中、切山下）、大字来巻（切山下）、東陽１丁目、東陽２丁目、東陽３丁目、東陽４丁目、東陽５丁目、東陽６丁目、東陽７丁目,,
KD0001500009,C135210000720,山口県,,下松市,,352071,下松市立下松中学校,クダマツシリツクダマツチュウガッコウ,1504,2023-04-01,,下松小、豊井小の学区,,
KD0001500010,C135210000739,山口県,,下松市,,352071,下松市立久保中学校,クダマツシリツクボチュウガッコウ,1504,2023-04-01,,久保小、東陽小の学区,,
KD0001500011,C135210000748,山口県,,下松市,,352071,下松市立末武中学校,クダマツシリツスエタケチュウガッコウ,1504,2023-04-01,,公集小、花岡小、中村小、米川小の学区,,
