都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
353434,0000000001,山口県,田布施町,田布施町立東田布施小学校,タブセチョウリツヒガシタブセショウガッコウ,,,山口県熊毛郡田布施町大波野152-1,,,,0820-52-2050,,,,,,,,,,,
353434,0000000002,山口県,田布施町,田布施町立麻郷小学校,タブセチョウリツオゴウショウガッコウ,,,山口県熊毛郡田布施町麻郷2258,,,,0820-52-2210,,,,,,,,,,,
353434,0000000003,山口県,田布施町,田布施町立城南小学校,タブセチョウリツジョウナンショウガッコウ,,,山口県熊毛郡田布施町宿井1039-1,,,,0820-52-2559,,,,,,,,,,,
353434,0000000004,山口県,田布施町,田布施町立田布施西小学校,タブセチョウリツタブセニシショウガッコウ,,,山口県熊毛郡田布施町下田布施2156-1,,,,0820-52-2051,,,,,,,,,,,
353434,0000000005,山口県,田布施町,田布施町立田布施中学校,タブセチョウリツタブセチュウガッコウ,,,山口県熊毛郡田布施町下田布施1050-4,,,,0820-52-2138,,,,,,,,,,,
