都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
353051,1,山口県,周防大島町,沖浦小学校,オキウラショウガッコウ,,,山口県周防大島町大字横見346[sanitize]1,,33.89129,132.190832,(0820)76[sanitize]0007,,,,,,,,,,,
353051,2,山口県,周防大島町,明新小学校,メイシンショウガッコウ,,,山口県周防大島町大字小松開作121[sanitize]1,,33.929035,132.190596,(0820)74[sanitize]2021,,,,,,,,,,,
353051,3,山口県,周防大島町,三蒲小学校,ミガマショウガッコウ,,,山口県周防大島町大字東三蒲1107[sanitize]1,,33.94496,132.214933,(0820)74[sanitize]2319,,,,,,,,,,,
353051,4,山口県,周防大島町,久賀小学校,クカショウガッコウ,,,山口県周防大島町大字久賀4807[sanitize]1,,33.946733,132.263701,(0820)72[sanitize]0031,,,,,,,,,,,
353051,5,山口県,周防大島町,安下庄小学校,アゲノショウショウガッコウ,,,山口県周防大島町大字西安下庄418,,33.899015,132.276305,(0820)77[sanitize]0061,,,,,,,,,,,
353051,6,山口県,周防大島町,島中小学校,シマナカショウガッコウ,,,山口県周防大島町大字土居1300[sanitize]4,,33.917615,132.303701,(0820)73[sanitize]0508,,,,,,,,,,,
353051,7,山口県,周防大島町,浮島小学校,ウカシマショウガッコウ,,,山口県周防大島町大字浮島205[sanitize]1,,33.953575,132.339536,(0820)73[sanitize]0321,,,,,,,,,,,
353051,8,山口県,周防大島町,東和小学校,トウワショウガッコウ,,,山口県周防大島町大字西方2048[sanitize]1,,33.902357,132.343095,(0820)78[sanitize]0020,,,,,,,,,,,
