service_id,date,exception_type
毎日運行1,20250630,1
毎日運行1,20250701,1
毎日運行1,20250702,1
毎日運行1,20250703,1
毎日運行1,20250704,1
毎日運行1,20250705,1
毎日運行1,20250706,1
毎日運行1,20250707,1
毎日運行1,20250708,1
毎日運行1,20250709,1
毎日運行1,20250710,1
毎日運行1,20250711,1
毎日運行1,20250712,1
毎日運行1,20250713,1
毎日運行1,20250714,1
毎日運行1,20250715,1
毎日運行1,20250716,1
毎日運行1,20250717,1
毎日運行1,20250718,1
毎日運行1,20250719,1
毎日運行1,20250720,1
毎日運行1,20250721,1
毎日運行1,20250722,1
毎日運行1,20250723,1
毎日運行1,20250724,1
毎日運行1,20250725,1
毎日運行1,20250726,1
毎日運行1,20250727,1
毎日運行1,20250728,1
毎日運行1,20250729,1
毎日運行1,20250730,1
毎日運行1,20250731,1
毎日運行1,20250801,1
毎日運行1,20250802,1
毎日運行1,20250803,1
毎日運行1,20250804,1
毎日運行1,20250805,1
毎日運行1,20250806,1
毎日運行1,20250807,1
毎日運行1,20250808,1
毎日運行1,20250809,1
毎日運行1,20250810,1
毎日運行1,20250811,1
毎日運行1,20250812,1
毎日運行1,20250813,1
毎日運行1,20250814,1
毎日運行1,20250815,1
毎日運行1,20250816,1
毎日運行1,20250817,1
毎日運行1,20250818,1
毎日運行1,20250819,1
毎日運行1,20250820,1
毎日運行1,20250821,1
毎日運行1,20250822,1
毎日運行1,20250823,1
毎日運行1,20250824,1
毎日運行1,20250825,1
毎日運行1,20250826,1
毎日運行1,20250827,1
毎日運行1,20250828,1
毎日運行1,20250829,1
毎日運行1,20250830,1
毎日運行1,20250831,1
毎日運行1,20250901,1
毎日運行1,20250902,1
毎日運行1,20250903,1
毎日運行1,20250904,1
毎日運行1,20250905,1
毎日運行1,20250906,1
毎日運行1,20250907,1
毎日運行1,20250908,1
毎日運行1,20250909,1
毎日運行1,20250910,1
毎日運行1,20250911,1
毎日運行1,20250912,1
毎日運行1,20250913,1
